Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
3,-4.25,3.1875,-3.1875,0.7993164,0.5292969,0.2094727,-0.1665039,-0.2519531,-0.1469727
7,-4.5625,3.375,-2.25,0.8339844,0.5332031,0.2060547,-0.168457,-0.2519531,-0.144043
11,-3,4,0.25,0.8652344,0.4985352,0.1713867,-0.168457,-0.2519531,-0.1455078
15,1.6875,7.4375,4.3125,0.8769531,0.5136719,0.144043,-0.1674805,-0.2519531,-0.1455078
19,6.8125,10.0625,6.125,0.8652344,0.5410156,0.1132813,-0.168457,-0.2519531,-0.1455078
23,10.75,13.875,4.5,0.8613281,0.5800781,0.1132813,-0.1650391,-0.2529297,-0.1469727
27,14.3125,16.875,3.375,0.8691406,0.5800781,0.06738281,-0.1674805,-0.2504883,-0.144043
31,22.6875,21.625,2.8125,0.8110352,0.5214844,-0.04003906,-0.1650391,-0.2529297,-0.1469727
35,35.3125,15.75,2.875,0.7021484,0.5371094,-0.109375,-0.1665039,-0.2529297,-0.1455078
39,38.6875,3.0625,5.8125,0.6674805,0.5839844,-0.109375,-0.1650391,-0.2558594,-0.144043
43,38.6875,-9.125,5,0.6479492,0.6459961,-0.07470703,-0.1665039,-0.2558594,-0.1416016
47,32.4375,-20.0625,-2.25,0.6674805,0.7392578,0.01708984,-0.1674805,-0.2568359,-0.1401367
51,16.4375,-30.5625,-11.8125,0.675293,0.8051758,0.125,-0.168457,-0.2592773,-0.1357422
55,-3,-42.25,-18.0625,0.7333984,0.7587891,0.2172852,-0.168457,-0.2607422,-0.1347656
59,-12.625,-49.125,-19.75,0.8417969,0.5913086,0.2441406,-0.1674805,-0.2592773,-0.1333008
63,-4.8125,-41.375,-17.6875,0.9931641,0.4282227,0.2597656,-0.168457,-0.2592773,-0.1303711
67,14.3125,-18.875,-13.875,1.031738,0.3583984,0.2636719,-0.1708984,-0.2617188,-0.1318359
71,28.125,-2.5,-8.1875,0.8920898,0.4321289,0.2133789,-0.1699219,-0.2631836,-0.1289063
75,31.75,-2.375,-3.3125,0.7954102,0.5214844,0.1865234,-0.168457,-0.2641602,-0.1264648
79,25.625,-5.0625,-2.4375,0.7915039,0.6264648,0.1943359,-0.168457,-0.2670898,-0.1235352
83,18.375,-7.1875,-2.875,0.7641602,0.5952148,0.1904297,-0.168457,-0.2670898,-0.1235352
87,14.625,-11.625,-0.375,0.7641602,0.5566406,0.1748047,-0.1699219,-0.2680664,-0.1225586
91,14.375,-10.9375,1.3125,0.8149414,0.5527344,0.1635742,-0.1699219,-0.2670898,-0.1210938
95,19,-5.5,1.5625,0.8339844,0.5332031,0.125,-0.1699219,-0.2670898,-0.1181641
99,22.6875,-1.5,1.875,0.8149414,0.5566406,0.05566406,-0.1699219,-0.2695313,-0.1142578
