Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,1.6875,-1,-2.25,0.08642578,-0.9814453,-0.1630859,0.03320313,0.2773438,0.05419922
4,-2.1875,0.8125,-4.0625,0.09033203,-1.012695,-0.1474609,0.03173828,0.2763672,0.05419922
9,-2.5,0,-1.875,0.07861328,-1.036133,-0.1591797,0.03076172,0.2763672,0.05419922
13,-2.375,0.4375,-1.25,0.06689453,-1.020508,-0.1630859,0.03173828,0.2763672,0.05273438
17,-4.375,0.25,-4.875,0.05126953,-1.004883,-0.1513672,0.03417969,0.2763672,0.05419922
21,-4.9375,-1.5625,-8.5,0.03173828,-1.016602,-0.1708984,0.03173828,0.2773438,0.05273438
25,-4.9375,-4.0625,-9.5625,0.03564453,-1.016602,-0.1708984,0.03173828,0.2773438,0.05517578
29,-4.1875,-4,-8.6875,0.06298828,-1.016602,-0.1669922,0.02978516,0.2763672,0.05126953
33,-5.125,-1.0625,-7.5,0.07470703,-1.032227,-0.1821289,0.02978516,0.2763672,0.05419922
37,-4.5625,2.1875,-4.1875,0.05908203,-1.05127,-0.1743164,0.02734375,0.2749023,0.05810547
41,-5.4375,4.9375,-0.625,0.03955078,-1.008789,-0.1552734,0.02587891,0.2773438,0.05517578
45,-11.8125,8.5,-4,0.02441406,-1.012695,-0.1821289,0.02832031,0.2749023,0.05419922
49,-14.5625,9.75,-6.875,-0.006347656,-1.070801,-0.1899414,0.02587891,0.2763672,0.05664063
53,-12.625,4.5625,-7.5,-0.01806641,-1.136719,-0.2324219,0.02490234,0.2749023,0.05810547
57,-8.25,-3.5625,-5.9375,-0.01025391,-1.175781,-0.2592773,0.02490234,0.2763672,0.05957031
61,-4.3125,-10.0625,-6.8125,0.02832031,-1.199219,-0.2475586,0.02734375,0.2763672,0.06103516
65,-3.0625,-12.5,-6.1875,0.07470703,-1.1875,-0.2246094,0.02490234,0.2763672,0.05957031
69,-4.9375,-12.3125,-4.6875,0.1054688,-1.167969,-0.1938477,0.02587891,0.2763672,0.05957031
73,-9.8125,-7.9375,-3.0625,0.1210938,-1.136719,-0.1474609,0.02734375,0.2788086,0.05957031
77,-18.8125,-0.5,-5.375,0.1557617,-1.136719,-0.1474609,0.02978516,0.2788086,0.05957031
81,-27.625,5,-4.4375,0.159668,-1.171875,-0.1513672,0.02832031,0.2773438,0.06201172
85,-31.9375,8.75,-1.25,0.1791992,-1.284668,-0.1938477,0.02587891,0.2788086,0.06494141
89,-29.75,11,1.9375,0.1635742,-1.308105,-0.1938477,0.02832031,0.2788086,0.06787109
93,-29.125,8.4375,9.375,0.109375,-1.249512,-0.1860352,0.02734375,0.2788086,0.06884766
97,-30.375,6.3125,19,0.125,-1.237793,-0.2246094,0.02490234,0.2788086,0.07324219
101,-28.25,7.5625,26,0.140625,-1.265137,-0.2670898,0.02832031,0.2797852,0.07714844
105,-28.125,7.9375,27.5625,0.09375,-1.21875,-0.2705078,0.02978516,0.28125,0.07861328
109,-30.4375,8.375,26.5,0.08642578,-1.214844,-0.2861328,0.02978516,0.28125,0.08105469
113,-27.6875,6.0625,29.5,0.03564453,-1.148438,-0.2900391,0.03564453,0.2822266,0.08398438
117,-27.5625,3,31.3125,0.06689453,-1.086426,-0.2783203,0.03808594,0.2836914,0.08789063
121,-28.3125,5.5625,33.5625,0.09375,-1.000977,-0.2631836,0.04150391,0.2836914,0.08789063
125,-39.5625,11.375,26.9375,0.09033203,-0.8803711,-0.2553711,0.04248047,0.2836914,0.09228516
129,-53.4375,19.125,13.1875,0.06689453,-0.9506836,-0.2978516,0.04492188,0.2851563,0.09912109
133,-50.75,20.1875,6.5,-0.006347656,-0.9697266,-0.3051758,0.04638672,0.2861328,0.1030273
138,-46.5625,10.125,4.875,-0.01025391,-0.9350586,-0.3398438,0.04882813,0.2875977,0.1083984
142,-36.25,2.3125,8.25,0.06298828,-1.012695,-0.3515625,0.04638672,0.2851563,0.1137695
