Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
2,3.75,6.6875,-1.375,-0.9399414,0.3310547,0.05175781,0.2832031,-0.04833984,-0.08154297
6,-1.8125,4.75,-2.75,-0.9208984,0.269043,0.07910156,0.2841797,-0.04589844,-0.08300781
10,-0.75,3.3125,-4.125,-0.9365234,0.2495117,0.08251953,0.2817383,-0.04589844,-0.08154297
14,1.1875,0.3125,-4,-0.9399414,0.2416992,0.08251953,0.2817383,-0.04443359,-0.08154297
18,4.625,-4.3125,-3.9375,-0.9365234,0.2495117,0.07128906,0.2832031,-0.04443359,-0.08007813
22,5.8125,-7.5625,-3.1875,-0.9208984,0.2768555,0.06738281,0.2832031,-0.04443359,-0.08154297
26,4.9375,-11.4375,-1.9375,-0.9594727,0.3081055,0.07519531,0.2807617,-0.04443359,-0.08300781
30,1.0625,-18.125,-6.0625,-0.9208984,0.3120117,0.06738281,0.2832031,-0.04589844,-0.08447266
34,-0.9375,-18.1875,-7.1875,-0.8706055,0.2924805,0.05175781,0.2807617,-0.04443359,-0.08154297
38,-2.6875,-18.5625,-5.0625,-0.9169922,0.3120117,0.05175781,0.2792969,-0.04199219,-0.08691406
42,-4.125,-21.375,-3.125,-0.8818359,0.3081055,0.04052734,0.2807617,-0.04199219,-0.08984375
46,-5.5,-19.5,1.6875,-0.8896484,0.315918,0.05175781,0.2792969,-0.04296875,-0.09082031
50,-10.25,-20.9375,4.8125,-0.9130859,0.3271484,0.05566406,0.2783203,-0.04052734,-0.09228516
54,-15.6875,-20.75,5.25,-0.9287109,0.3120117,0.03662109,0.2783203,-0.04443359,-0.09375
58,-19.25,-19,2.5,-0.8935547,0.2768555,0.02880859,0.2749023,-0.04199219,-0.09521484
62,-15.625,-13.8125,5.25,-0.8706055,0.237793,-0.005371094,0.2773438,-0.04296875,-0.09765625
66,-10.3125,-9.5,9.0625,-0.9130859,0.269043,-0.02050781,0.2783203,-0.04296875,-0.09765625
70,-9.125,-13.5625,8.625,-0.9868164,0.3041992,0.001953125,0.2758789,-0.04443359,-0.09667969
74,-9.5,-16.6875,10.0625,-0.9326172,0.3232422,0.01367188,0.2773438,-0.04296875,-0.09912109
78,-13.625,-13.5,10.25,-0.8935547,0.3740234,-0.001464844,0.2749023,-0.04443359,-0.1005859
82,-21.6875,-7.8125,6.4375,-0.9248047,0.3623047,0.009765625,0.2749023,-0.04443359,-0.1020508
86,-23.625,-6.25,6.3125,-0.9555664,0.3120117,0.02099609,0.2734375,-0.04443359,-0.1005859
90,-18.1875,-4.8125,5.875,-0.9208984,0.2651367,0.01367188,0.2724609,-0.04296875,-0.1020508
94,-5,-3.5,7.75,-0.9399414,0.2416992,0.03662109,0.2734375,-0.04589844,-0.1020508
98,7.125,-5.8125,11.875,-0.9555664,0.284668,0.03271484,0.2734375,-0.04443359,-0.1035156
102,9.25,-6.3125,7.9375,-0.8935547,0.3935547,0.005859375,0.2709961,-0.04589844,-0.1044922
