Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
2,0.125,-5.625,0.8125,0.07861328,0.987793,0.1098633,-0.01025391,-0.371582,-0.1616211
6,1,-5.1875,0.875,0.06298828,0.9799805,0.105957,-0.009277344,-0.371582,-0.1660156
10,1.25,-5.5,-0.3125,0.05126953,0.987793,0.1020508,-0.01025391,-0.371582,-0.1645508
14,0.9375,-5.5,-0.5625,0.05517578,0.9760742,0.1210938,-0.01025391,-0.371582,-0.1645508
18,1,-5.5,-0.625,0.04736328,0.956543,0.105957,-0.01025391,-0.371582,-0.1660156
22,-0.6875,-3.375,-1.4375,0.06689453,0.9414063,0.1020508,-0.01025391,-0.371582,-0.1616211
26,-2.6875,-0.75,-2.5625,0.03564453,0.921875,0.1171875,-0.01025391,-0.371582,-0.1645508
30,-4.5,-0.9375,-3.3125,0.03564453,0.8945313,0.1098633,-0.01025391,-0.3706055,-0.1645508
34,-6.625,1.3125,-3.1875,0.04736328,0.8481445,0.144043,-0.009277344,-0.3706055,-0.1660156
38,-9.875,3.125,-5,0.04736328,0.7739258,0.1328125,-0.009277344,-0.371582,-0.1674805
42,-5.125,3.75,-9.875,0.0009765625,0.6538086,0.1557617,-0.0078125,-0.3681641,-0.1660156
46,9.1875,-3.0625,-18.5,-0.08398438,0.6577148,0.1748047,-0.0078125,-0.3691406,-0.1674805
50,20.5625,-13.375,-25.625,-0.01025391,0.7587891,0.140625,-0.005859375,-0.3691406,-0.1674805
54,20.875,-9.75,-29.625,0.04736328,0.90625,0.1210938,-0.003417969,-0.3691406,-0.1660156
58,12.375,-8.5,-29.5,-0.006347656,0.9604492,0.09423828,-0.001953125,-0.3706055,-0.1630859
62,6.3125,-12.625,-35.3125,-0.03710938,0.953125,0.105957,0,-0.3706055,-0.1630859
66,9.5625,-22.625,-43.625,-0.06054688,0.9257813,0.05566406,0.004394531,-0.3706055,-0.1616211
70,17.0625,-28.5,-49.875,0.004882813,0.9682617,0.001953125,0.005859375,-0.3691406,-0.1630859
74,21.5625,-28.625,-52.3125,0.02441406,1.092773,-0.04394531,0.009277344,-0.3706055,-0.1606445
78,16.0625,-24.25,-46.5625,0.05126953,1.213379,-0.05126953,0.01416016,-0.3706055,-0.1591797
82,7.9375,-21.9375,-44,0.03564453,1.294922,-0.05126953,0.01269531,-0.3706055,-0.15625
86,3.9375,-18.25,-31.25,0.06689453,1.294922,-0.009277344,0.01904297,-0.3706055,-0.1577148
90,5.375,-14.625,-18.9375,0.08251953,1.294922,0.005859375,0.01757813,-0.3706055,-0.1577148
94,5.6875,-9.75,-9.375,0.08251953,1.317871,0.02099609,0.01904297,-0.3691406,-0.1577148
98,-1.4375,-8.8125,-6.125,0.03564453,1.403809,0.02880859,0.02001953,-0.3691406,-0.1577148
102,-11.0625,-9.625,0.1875,0.06689453,1.395996,0.05566406,0.02001953,-0.3691406,-0.1577148
106,-12.6875,-4.4375,8.75,0.09765625,1.458008,0.1020508,0.01904297,-0.3706055,-0.1577148
110,-17.5625,-0.75,26.3125,0.09033203,1.597656,0.09033203,0.01757813,-0.3681641,-0.1606445
114,-32.6875,1.5,44.1875,0.09033203,1.640625,0.1020508,0.01513672,-0.3681641,-0.1616211
118,-43.4375,2.6875,63,0.1015625,1.547363,0.1289063,0.01269531,-0.3666992,-0.1630859
123,-46.5,1.25,74.9375,0.08642578,1.461914,0.1479492,0.006835938,-0.3681641,-0.1660156
127,-46.5625,-0.375,85.1875,0.1015625,1.384277,0.144043,0,-0.3642578,-0.1713867
131,-39.5625,-4.0625,91.5625,0.09375,1.403809,0.1635742,-0.005859375,-0.3657227,-0.1738281
135,-32.875,-7.875,102.6875,0.08642578,1.508301,0.1787109,-0.01269531,-0.3657227,-0.1767578
139,-32.25,-11,120,0.1635742,1.652344,0.144043,-0.02099609,-0.3632813,-0.1767578
