Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-10.0625,-0.375,-9.0625,-0.4946289,0.793457,-0.3325195,0.1079102,-0.3330078,0.1069336
5,-8.75,-4.375,-4.8125,-0.4868164,0.793457,-0.3286133,0.1103516,-0.3354492,0.1069336
9,-5.375,-7.5625,-6.625,-0.4130859,0.824707,-0.2783203,0.109375,-0.3344727,0.105957
13,-6.3125,1.875,-13.8125,-0.3354492,0.8632813,-0.2207031,0.1118164,-0.3330078,0.1098633
17,-9.4375,9.125,-25.125,-0.378418,0.8364258,-0.2631836,0.112793,-0.3330078,0.105957
21,-15.875,14.1875,-28.1875,-0.3549805,0.7431641,-0.2475586,0.1152344,-0.3330078,0.105957
25,-18.25,16.9375,-29.5,-0.4672852,0.7119141,-0.309082,0.1166992,-0.3320313,0.1044922
29,-16.0625,5.9375,-30.125,-0.6225586,0.7314453,-0.378418,0.1186523,-0.3291016,0.1030273
33,-21.8125,1.625,-19.375,-0.6069336,0.7705078,-0.3051758,0.1201172,-0.3305664,0.1000977
37,-26.875,1.375,-10.3125,-0.6264648,0.8012695,-0.2822266,0.1201172,-0.3320313,0.1015625
41,-22.75,-0.625,-8.4375,-0.6611328,0.890625,-0.2744141,0.1210938,-0.3291016,0.09765625
45,-15.9375,-0.875,-9.5625,-0.6962891,0.9682617,-0.2705078,0.1210938,-0.3320313,0.09765625
49,-7.8125,3.375,-5.25,-0.7504883,1.038574,-0.2822266,0.1186523,-0.3330078,0.09472656
53,1.25,2.75,-1.8125,-0.8354492,1.124023,-0.3398438,0.1186523,-0.3344727,0.09326172
57,11.9375,1.4375,-1.5,-0.8237305,1.189941,-0.378418,0.1201172,-0.3330078,0.09472656
61,16.4375,6.1875,4.875,-0.7929688,1.232422,-0.3706055,0.1210938,-0.3344727,0.09472656
65,17.4375,14.1875,11.25,-0.8164063,1.225098,-0.4667969,0.1166992,-0.3354492,0.09472656
69,19,15.375,13.625,-0.8198242,1.244141,-0.5209961,0.1176758,-0.3354492,0.09912109
73,17.8125,16.25,15.3125,-0.7348633,1.228516,-0.4824219,0.1166992,-0.3344727,0.1000977
78,16.625,21.6875,14.1875,-0.6767578,1.186035,-0.4399414,0.1176758,-0.3378906,0.1030273
82,16.5625,23.125,11.3125,-0.6884766,1.162598,-0.4399414,0.1142578,-0.3393555,0.105957
86,12.6875,21.375,16.75,-0.7348633,1.088867,-0.4863281,0.1166992,-0.3393555,0.1083984
90,5.5625,15.3125,29.6875,-0.796875,1.038574,-0.5400391,0.112793,-0.3417969,0.1123047
94,-3.625,3.6875,46.1875,-0.8125,0.9760742,-0.5864258,0.109375,-0.3457031,0.1098633
98,-9.6875,-7.125,58.0625,-0.5874023,0.9023438,-0.4130859,0.1079102,-0.3481445,0.1137695
102,-2.1875,-10.3125,50.9375,-0.4326172,0.9257813,-0.3051758,0.1044922,-0.3544922,0.1123047
106,3.5,-3.5625,24.6875,-0.3007813,1.015137,-0.1821289,0.1044922,-0.359375,0.1123047
110,-1.9375,5.75,5.1875,-0.4013672,0.9995117,-0.2128906,0.1010742,-0.3618164,0.1152344
114,-15.9375,6.4375,13.125,-0.6147461,0.8867188,-0.359375,0.1020508,-0.3642578,0.1181641
118,-35.6875,-6.375,42.8125,-0.6845703,0.8520508,-0.3901367,0.1010742,-0.3691406,0.1137695
122,-60.125,-16.1875,76.125,-0.6108398,0.8481445,-0.3286133,0.09765625,-0.3745117,0.1137695
126,-73.875,-17.9375,93.625,-0.262207,0.7001953,-0.05126953,0.09130859,-0.3803711,0.1069336
130,-42.125,-11.3125,58.9375,-0.01806641,0.5644531,0.1787109,0.08544922,-0.3916016,0.1030273
134,23.5,-10.8125,4.875,-0.1030273,0.6772461,0.1367188,0.08300781,-0.3930664,0.1030273
138,51.5,-18.625,-16.3125,-0.296875,0.8364258,-0.03222656,0.08544922,-0.3930664,0.1069336
142,48,-31.3125,-8.1875,-0.4443359,0.7856445,-0.2167969,0.08886719,-0.3930664,0.1123047
146,44.1875,-44.75,16.75,-0.4829102,0.8012695,-0.34375,0.09375,-0.3916016,0.1166992
150,35.0625,-55.375,35.5625,-0.4365234,0.8945313,-0.4936523,0.09375,-0.3916016,0.1235352
154,24.6875,-66.3125,41.5625,-0.3935547,1.007324,-0.5283203,0.09277344,-0.3945313,0.125
158,25.25,-66.5,18.875,-0.1147461,0.9604492,-0.3286133,0.09375,-0.3945313,0.1259766
162,31.6875,-55.3125,-7.8125,-0.09521484,1.034668,-0.3325195,0.09375,-0.3969727,0.1274414
166,21.0625,-44.375,-33.625,-0.1225586,1.09668,-0.359375,0.09863281,-0.3979492,0.1313477
170,7.8125,-33.3125,-49.75,-0.3320313,1.100586,-0.4785156,0.105957,-0.3979492,0.1342773
174,-20,-25.4375,-43.5625,-0.4829102,1.01123,-0.5864258,0.1118164,-0.3994141,0.1342773
178,-56.3125,-32.3125,-16.4375,-0.5795898,0.8012695,-0.5825195,0.1186523,-0.4018555,0.1313477
182,-63.5625,-43.1875,-6.3125,-0.4208984,0.6342773,-0.4013672,0.1201172,-0.4116211,0.1274414
186,-46.375,-49.3125,-22.4375,-0.296875,0.6030273,-0.2397461,0.125,-0.4169922,0.125
190,-24.75,-53,-49.25,-0.1767578,0.5913086,-0.06298828,0.1293945,-0.421875,0.1137695
194,-12.5625,-46.25,-60.5625,-0.1767578,0.5839844,-0.009277344,0.1376953,-0.4243164,0.1137695
198,-18.625,-31.375,-59.125,-0.3242188,0.7314453,-0.1591797,0.1474609,-0.4267578,0.1098633
202,-24.0625,-36.8125,-50.5625,-0.8974609,0.8442383,-0.5551758,0.1547852,-0.4282227,0.105957
207,-49.625,-65.5,-15.875,-0.7504883,0.6069336,-0.4477539,0.1630859,-0.4291992,0.09912109
211,-59.3125,-63.0625,13.5625,-0.3588867,0.3232422,-0.06298828,0.1650391,-0.4355469,0.08935547
215,-49.9375,-66.375,21.375,-0.2543945,0.3583984,0.09814453,0.1665039,-0.4428711,0.07568359
219,-22.4375,-72.25,8.8125,-0.2543945,0.4633789,0.159668,0.1674805,-0.4428711,0.06884766
223,-8.4375,-64.1875,5.875,-0.2080078,0.6342773,0.1943359,0.1699219,-0.4482422,0.06494141
227,-15,-46.9375,13.1875,-0.3242188,0.6420898,0.144043,0.1689453,-0.4492188,0.05517578
231,-18.8125,-46.3125,31.875,-0.3125,0.5136719,0.159668,0.1674805,-0.4492188,0.05419922
235,0.1875,-41.5,42.25,-0.1264648,0.5175781,0.2329102,0.1650391,-0.453125,0.04589844
239,24.3125,-31.125,30.25,-0.1533203,0.8129883,0.08251953,0.1591797,-0.4570313,0.04882813
243,22.0625,-20.75,12.9375,-0.1572266,0.9995117,-0.01660156,0.1591797,-0.4580078,0.04980469
247,2.6875,-1.3125,6.25,-0.1303711,0.953125,-0.001464844,0.1567383,-0.4594727,0.05126953
251,-3.0625,13.125,2.0625,-0.2700195,0.8208008,-0.05908203,0.1567383,-0.4594727,0.05273438
255,5,10.6875,2.9375,-0.3203125,0.8325195,-0.05908203,0.1567383,-0.4594727,0.05273438
259,9.75,18.125,-3.8125,-0.2734375,0.8867188,-0.08203125,0.1557617,-0.4604492,0.05273438
263,2.0625,24,-3.1875,-0.378418,0.8945313,-0.1591797,0.1557617,-0.4580078,0.05664063
267,-2.8125,22.625,2.75,-0.4091797,0.8129883,-0.1630859,0.1567383,-0.4570313,0.05810547
271,2.375,17.625,5.1875,-0.328125,0.8129883,-0.05126953,0.1557617,-0.4594727,0.05810547
275,7.8125,20.0625,0.875,-0.230957,0.8828125,0.08251953,0.1557617,-0.4594727,0.06103516
279,7.4375,28.625,-6.125,-0.2543945,0.8789063,0.05175781,0.1523438,-0.4555664,0.06103516
283,6.5,30.125,-7.5625,-0.2734375,0.8598633,0.04052734,0.1533203,-0.4555664,0.06494141
287,8.875,32.4375,-9.9375,-0.262207,0.855957,0.03662109,0.1547852,-0.4541016,0.06884766
291,5.375,37.8125,-13.375,-0.1728516,0.8286133,0.09033203,0.1533203,-0.453125,0.0703125
295,2.0625,47.8125,-16.6875,-0.1069336,0.8364258,0.1674805,0.1547852,-0.4506836,0.07421875
299,2.5,61.5,-29,-0.1381836,0.8286133,0.1635742,0.1547852,-0.4492188,0.07861328
303,0,75.8125,-32.5,-0.3046875,0.7739258,0.08251953,0.1567383,-0.4453125,0.08251953
307,-1.5625,72.5625,-24.3125,-0.4829102,0.5952148,-0.0859375,0.1567383,-0.4428711,0.08789063
311,11.125,52.75,-16.75,-0.4555664,0.5058594,-0.112793,0.1582031,-0.4379883,0.09326172
315,24.375,48.0625,-4.3125,-0.3046875,0.5371094,-0.01318359,0.1582031,-0.4394531,0.09912109
319,29.375,47.1875,-2.375,-0.3974609,0.7705078,-0.07861328,0.1547852,-0.4316406,0.1044922
323,28.8125,43.625,-4.4375,-0.4130859,0.809082,-0.1245117,0.1523438,-0.4267578,0.1098633
327,20,48.125,2.75,-0.3432617,0.7666016,-0.1630859,0.1499023,-0.4228516,0.1137695
331,17.625,45.125,9,-0.3588867,0.7666016,-0.2670898,0.1459961,-0.4179688,0.1206055
336,10.625,37,11.6875,-0.2348633,0.7587891,-0.2055664,0.144043,-0.4130859,0.125
340,12.125,42.125,6.8125,-0.2504883,0.777832,-0.1513672,0.1416016,-0.4067383,0.125
344,16.5,45.3125,-3.6875,-0.4052734,0.8364258,-0.2592773,0.1401367,-0.402832,0.1274414
348,17.8125,40.5,-4.4375,-0.4404297,0.7817383,-0.2939453,0.1367188,-0.3969727,0.1303711
352,15.1875,36.875,-1.8125,-0.3164063,0.7197266,-0.2553711,0.1333008,-0.3916016,0.1328125
356,11.8125,38.3125,2.125,-0.1767578,0.6962891,-0.1591797,0.1318359,-0.390625,0.1342773
360,12.0625,50.75,-5.6875,-0.2387695,0.8012695,-0.1591797,0.1308594,-0.3833008,0.1357422
364,14.5625,55.75,-15.625,-0.4868164,0.8671875,-0.3398438,0.128418,-0.3818359,0.137207
368,11.5,51.1875,-13.75,-0.6225586,0.8632813,-0.4863281,0.125,-0.3754883,0.1396484
372,4.1875,39.8125,-5.4375,-0.6108398,0.8286133,-0.4975586,0.125,-0.3691406,0.1411133
376,-3.25,34.3125,0.8125,-0.4404297,0.7705078,-0.3554688,0.1225586,-0.3691406,0.1396484
380,-4.1875,34.5,0.5625,-0.4907227,0.8012695,-0.3325195,0.1201172,-0.3666992,0.1381836
384,4.3125,26.3125,-0.375,-0.5566406,0.8325195,-0.324707,0.1166992,-0.3632813,0.1425781
388,7.625,20.9375,-4.0625,-0.5102539,0.8867188,-0.2592773,0.1152344,-0.3618164,0.1396484
392,3.3125,30.6875,-4.375,-0.4555664,0.8632813,-0.2397461,0.1152344,-0.359375,0.1411133
396,-5.125,36.5,1.625,-0.5292969,0.840332,-0.3398438,0.1118164,-0.3569336,0.1411133
400,-8.4375,28.125,5.75,-0.5795898,0.8442383,-0.3901367,0.1103516,-0.3520508,0.1411133
404,-5.125,19.6875,7.0625,-0.5566406,0.8168945,-0.3745117,0.1079102,-0.3491211,0.1381836
408,-5.75,12.375,11.1875,-0.5102539,0.855957,-0.3515625,0.105957,-0.3491211,0.1396484
412,-5.125,12.125,9.4375,-0.4790039,0.875,-0.3398438,0.105957,-0.3457031,0.1381836
416,-5.875,14.5625,10.375,-0.4711914,0.8867188,-0.3398438,0.105957,-0.3466797,0.137207
420,-7.9375,17.125,10.625,-0.4594727,0.875,-0.3745117,0.1020508,-0.3442383,0.1357422
424,-9.8125,13.4375,11.25,-0.5063477,0.8984375,-0.4208984,0.09960938,-0.3417969,0.1342773
428,-11.875,5.5,14.5625,-0.4985352,0.8789063,-0.4438477,0.09863281,-0.3417969,0.1357422
432,-9.375,1,15.6875,-0.4521484,0.8984375,-0.4091797,0.09521484,-0.3417969,0.1342773
436,-6.125,-2.3125,17.0625,-0.4443359,0.9682617,-0.4477539,0.09521484,-0.3417969,0.1313477
440,-5.75,-7.3125,11.0625,-0.3901367,1.01123,-0.4555664,0.09375,-0.3408203,0.1303711
444,-5.75,-11.125,5.0625,-0.328125,1.015137,-0.4438477,0.09375,-0.3408203,0.1274414
448,-7.3125,-11.375,-3.0625,-0.328125,1.049805,-0.4399414,0.09375,-0.3408203,0.1274414
452,-10.9375,-10.4375,-9.4375,-0.3432617,1.022949,-0.4091797,0.09375,-0.3378906,0.1259766
456,-14.5,-5,-12.5,-0.3588867,0.9604492,-0.3745117,0.09619141,-0.3354492,0.125
460,-16.3125,-3.0625,-11.875,-0.4169922,0.9140625,-0.4169922,0.09619141,-0.3369141,0.125
465,-14.25,-12.75,-14.3125,-0.4555664,0.90625,-0.4248047,0.09960938,-0.3344727,0.125
469,-4.4375,-19.9375,-17.5625,-0.5102539,0.9335938,-0.4438477,0.09960938,-0.3344727,0.1220703
473,-9.9375,-18.25,-12.375,-0.5527344,0.9682617,-0.4248047,0.1020508,-0.3305664,0.1206055
477,-34.75,-23.3125,9.125,-0.5913086,1.003418,-0.3666992,0.1020508,-0.3320313,0.1191406
481,-19.625,-18.125,13.8125,-0.5253906,0.8945313,-0.3974609,0.1035156,-0.3320313,0.1152344
485,-9,-28.125,6.9375,-0.5683594,1.007324,-0.4399414,0.1020508,-0.3320313,0.1137695
489,9.125,-35.4375,-8.5,-0.5102539,1.04248,-0.4091797,0.1035156,-0.3320313,0.1123047
493,15.5,-30.5625,-18.5625,-0.4750977,1.116211,-0.3862305,0.105957,-0.3291016,0.1123047
497,5.375,-19.3125,-17.75,-0.4946289,1.13916,-0.4248047,0.1079102,-0.3291016,0.1137695
501,-7.6875,-8.1875,-12.125,-0.5102539,1.120117,-0.4594727,0.1079102,-0.328125,0.1137695
505,-16.5625,-3.8125,-9.5,-0.5566406,1.120117,-0.4863281,0.1118164,-0.328125,0.1137695
509,-19,-2.75,-10.875,-0.5410156,1.077148,-0.4477539,0.1118164,-0.3305664,0.1098633
513,-15.75,-0.3125,-14.875,-0.5683594,1.026855,-0.4321289,0.1103516,-0.3291016,0.1069336
517,-8.75,-1.5625,-16.875,-0.6342773,0.9916992,-0.4438477,0.112793,-0.3291016,0.1069336
521,1.625,-9.9375,-14.1875,-0.6494141,0.9453125,-0.4516602,0.1152344,-0.3291016,0.1069336
525,13.5625,-21.0625,-10.625,-0.6225586,0.9375,-0.4785156,0.1166992,-0.328125,0.1044922
529,25.0625,-32.1875,-12.1875,-0.5332031,0.9643555,-0.4628906,0.1176758,-0.3266602,0.1083984
533,32.25,-33.5625,-13.375,-0.5253906,1.04248,-0.4130859,0.1201172,-0.3266602,0.1098633
537,22.1875,-26.875,-6.1875,-0.4907227,1.112305,-0.378418,0.1235352,-0.3256836,0.1098633
