Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,34.5,16.6875,42.5,-0.1767578,-1.02832,0.425293,0.1342773,0.2172852,-0.1645508
4,37.0625,23.6875,49.625,-0.2270508,-0.9697266,0.4135742,0.1401367,0.2124023,-0.1674805
8,33.5625,23.8125,61.5,-0.2851563,-0.9233398,0.390625,0.1459961,0.2075195,-0.1699219
12,30.9375,23.4375,66.625,-0.3046875,-0.8803711,0.3867188,0.1484375,0.2036133,-0.1699219
16,27.1875,23.8125,67.1875,-0.3125,-0.8417969,0.3979492,0.1547852,0.2001953,-0.1728516
20,24.375,25.8125,63.375,-0.3046875,-0.8339844,0.4287109,0.1616211,0.1948242,-0.1713867
24,21.875,31.0625,60.0625,-0.3320313,-0.8803711,0.4672852,0.1665039,0.1923828,-0.1713867
29,25.375,34.3125,62.5625,-0.3823242,-0.9892578,0.4711914,0.1723633,0.1875,-0.1728516
33,32.625,37.4375,71.375,-0.3935547,-0.9619141,0.4633789,0.1782227,0.1811523,-0.1713867
37,36.25,39.875,84.8125,-0.4594727,-0.9697266,0.4482422,0.184082,0.1772461,-0.1738281
41,39.5625,39.75,84.625,-0.5063477,-0.8613281,0.5019531,0.1904297,0.1723633,-0.175293
45,43.625,42,82.0625,-0.5410156,-0.9389648,0.5556641,0.1962891,0.1660156,-0.1738281
49,52.125,45.75,86.5625,-0.6264648,-1.047363,0.590332,0.203125,0.1601563,-0.1713867
53,62.625,49.8125,92.75,-0.7075195,-1.012695,0.6328125,0.2119141,0.1523438,-0.175293
57,68.125,53.3125,111.625,-0.8354492,-1.109863,0.6367188,0.2202148,0.1411133,-0.175293
61,74.75,49.875,128,-0.9711914,-1.062988,0.625,0.2246094,0.1323242,-0.1767578
65,79.625,36.1875,135.1875,-1.087402,-1.047363,0.5981445,0.234375,0.1201172,-0.1782227
69,86.125,15.4375,145.5625,-1.129883,-1.05127,0.5751953,0.2412109,0.1049805,-0.1796875
73,90.0625,-3.1875,151.9375,-1.07959,-0.9736328,0.6098633,0.2460938,0.09375,-0.1806641
77,94.75,-8.8125,162.25,-1.029297,-1.090332,0.7329102,0.2519531,0.07763672,-0.1875
81,103.375,-5.6875,178.6875,-1.044922,-1.121582,0.7480469,0.2583008,0.05859375,-0.1928711
85,109.1875,-1.8125,192.4375,-1.041016,-1.070801,0.7675781,0.2617188,0.04492188,-0.1928711
89,115.8125,1.5,206.125,-1.056641,-1.098145,0.7636719,0.2675781,0.02148438,-0.1972656
93,124.375,9.0625,213.875,-1.103027,-1.02832,0.7675781,0.2724609,-0.003417969,-0.199707
97,125.5625,0.4375,228.3125,-1.315918,-1.043945,0.6367188,0.2749023,-0.02050781,-0.2011719
101,129.75,-11.5,239.625,-1.28125,-1.086426,0.675293,0.2773438,-0.046875,-0.2026367
105,129.9375,-17.4375,259.75,-1.312012,-1.043945,0.6210938,0.2749023,-0.078125,-0.2041016
109,133,-30.3125,268.4375,-1.304199,-1.066895,0.5522461,0.2734375,-0.09716797,-0.2055664
113,131.6875,-43.0625,285.375,-1.203613,-0.9389648,0.4560547,0.2666016,-0.1318359,-0.2055664
117,130.5,-48.8125,289.25,-1.060547,-0.9272461,0.4790039,0.2568359,-0.1621094,-0.2080078
121,127.9375,-37.75,297.3125,-0.9594727,-0.9116211,0.5214844,0.25,-0.1831055,-0.2080078
