Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
2,6.8125,-0.1875,0,0.9116211,0.1796875,0.2788086,-0.331543,-0.02197266,-0.05273438
6,4.8125,-1.0625,-1.5,0.9116211,0.1757813,0.2709961,-0.331543,-0.02197266,-0.05273438
10,0.6875,-3,-0.5625,0.9272461,0.1796875,0.2866211,-0.331543,-0.02197266,-0.05419922
14,-4.5625,-5.5,1.8125,0.9350586,0.15625,0.3017578,-0.3330078,-0.02441406,-0.05175781
18,-7.8125,-5.8125,4.25,0.9814453,0.1333008,0.2983398,-0.3305664,-0.02197266,-0.05175781
22,-11.625,-5.4375,9.125,1.000488,0.1098633,0.3056641,-0.3330078,-0.02197266,-0.05029297
26,-14.0625,-6.0625,13.25,0.9814453,0.1020508,0.2983398,-0.331543,-0.02197266,-0.05029297
30,-15.5625,-6.25,14.375,0.9931641,0.1020508,0.3017578,-0.331543,-0.02050781,-0.05273438
34,-21.5,-7.9375,17.375,0.9970703,0.121582,0.3251953,-0.331543,-0.01708984,-0.05029297
38,-28.875,-8.375,21.625,1.023926,0.09033203,0.3520508,-0.3330078,-0.01708984,-0.04882813
42,-39.9375,-8.8125,28.25,1.02002,0.1137695,0.375,-0.3330078,-0.01074219,-0.04638672
46,-55.625,-13,37.375,1.031738,0.1020508,0.409668,-0.331543,-0.01074219,-0.04492188
50,-68.875,-14.0625,44.875,1.074219,0.03222656,0.4213867,-0.331543,-0.005859375,-0.04199219
54,-75.9375,-11.125,50.875,1.078125,-0.01416016,0.390625,-0.331543,-0.001953125,-0.04052734
58,-81.9375,-9.125,57.4375,1.070313,-0.01806641,0.3637695,-0.3295898,0.001464844,-0.04052734
62,-85.625,-6.8125,61.9375,1.066406,-0.05664063,0.355957,-0.3271484,0.01025391,-0.03955078
66,-86.5,-2.3125,64,1.078125,-0.08789063,0.3442383,-0.328125,0.01611328,-0.03662109
70,-92.1875,-2.375,68.25,1.059082,-0.09960938,0.3520508,-0.328125,0.02148438,-0.03369141
74,-97.4375,-3.9375,76.4375,1.109375,-0.1811523,0.355957,-0.3256836,0.02880859,-0.03271484
78,-94.1875,3.25,83.0625,1.194336,-0.2666016,0.3520508,-0.3256836,0.03857422,-0.03125
82,-87,11.3125,84.8125,1.16748,-0.3286133,0.3173828,-0.3222656,0.04492188,-0.02978516
86,-82.3125,13.5,91.625,1.163574,-0.3364258,0.2944336,-0.3208008,0.05126953,-0.02832031
90,-78.75,13.4375,104.8125,1.175293,-0.4257813,0.2866211,-0.3188477,0.0625,-0.02734375
94,-66.3125,15.75,115,1.241211,-0.4804688,0.2827148,-0.3164063,0.06884766,-0.02734375
98,-55.5,21.9375,123,1.248535,-0.484375,0.2749023,-0.3115234,0.08105469,-0.02587891
102,-44.6875,27.625,131.3125,1.268066,-0.503418,0.2597656,-0.3066406,0.09228516,-0.02587891
106,-41.875,29.4375,141.4375,1.19043,-0.5268555,0.2480469,-0.3032227,0.1010742,-0.03125
110,-39.0625,26.375,151.3125,1.233398,-0.5,0.2675781,-0.2958984,0.1162109,-0.02978516
115,-44,26,155.6875,1.213867,-0.5,0.2709961,-0.2890625,0.1274414,-0.03125
119,-47.875,21.3125,161.4375,1.22168,-0.5776367,0.2597656,-0.2827148,0.1362305,-0.03125
123,-44.5625,16.4375,175.1875,1.244629,-0.7172852,0.2290039,-0.2724609,0.1523438,-0.02832031
127,-29.4375,16.125,188.6875,1.22168,-0.7792969,0.1943359,-0.2626953,0.1674805,-0.02978516
131,-12.8125,17.4375,194.125,1.229492,-0.7133789,0.2060547,-0.253418,0.1762695,-0.02978516
135,-5.5,22.75,191.25,1.26416,-0.5854492,0.2480469,-0.2402344,0.1923828,-0.03125
139,-4.1875,27.875,188.125,1.19043,-0.6044922,0.2402344,-0.2280273,0.2050781,-0.03271484
143,-0.875,28.5,192.625,1.070313,-0.5966797,0.2094727,-0.2172852,0.2148438,-0.03369141
147,-3.75,18.8125,201.0625,1.074219,-0.6279297,0.2250977,-0.2045898,0.2260742,-0.03515625
151,-4.0625,17.4375,205.625,1.121094,-0.5893555,0.2636719,-0.1855469,0.2397461,-0.03515625
155,-1.375,26.5,198.8125,1.105469,-0.5854492,0.2827148,-0.1772461,0.2460938,-0.03955078
159,1.8125,28.4375,194.4375,0.9462891,-0.6279297,0.2636719,-0.1582031,0.2573242,-0.04199219
163,-1.75,24.9375,194.625,0.9462891,-0.6005859,0.2944336,-0.1401367,0.2636719,-0.04199219
167,4.8125,27.5,196.375,0.8300781,-0.7016602,0.2636719,-0.1269531,0.2685547,-0.04199219
171,21.875,29.8125,198.625,0.8261719,-0.7680664,0.2519531,-0.109375,0.2763672,-0.04492188
175,36,37.25,198,0.7719727,-0.5737305,0.2709961,-0.08886719,0.2836914,-0.04882813
179,37.25,44.125,194.8125,0.7138672,-0.5385742,0.2675781,-0.07714844,0.2836914,-0.05273438
183,28.1875,39.5625,190.125,0.5512695,-0.4570313,0.2866211,-0.05664063,0.2885742,-0.05859375
187,10.5,32.0625,188.6875,0.5473633,-0.4648438,0.3173828,-0.03662109,0.2900391,-0.0625
191,-4.9375,22.75,193.1875,0.5317383,-0.6860352,0.3134766,-0.02490234,0.2910156,-0.06396484
195,-1.625,22,192.5625,0.4658203,-0.7524414,0.2983398,-0.003417969,0.2910156,-0.0625
199,4,25.0625,196.75,0.4467773,-0.7211914,0.2675781,0.01513672,0.2885742,-0.06542969
203,7.5625,23.125,200.125,0.2875977,-0.6474609,0.2709961,0.02832031,0.2875977,-0.06542969
207,11.9375,26.75,192.625,0.2646484,-0.5927734,0.2441406,0.04980469,0.2822266,-0.06542969
211,16.625,29.25,188.5,0.1289063,-0.5927734,0.2441406,0.06884766,0.2788086,-0.06640625
215,26.9375,29.3125,188.9375,0.004882813,-0.4960938,0.2250977,0.08203125,0.2749023,-0.06640625
219,33.8125,30.625,187.75,-0.1499023,-0.3325195,0.2021484,0.09863281,0.2709961,-0.06933594
223,43.375,31,179.625,-0.328125,-0.1499023,0.159668,0.1152344,0.2612305,-0.07177734
227,49.25,28.625,155.9375,-0.5605469,0.105957,0.1635742,0.128418,0.2573242,-0.07470703
231,49.8125,27.8125,132.3125,-0.7578125,0.2651367,0.1518555,0.1416016,0.2485352,-0.07861328
235,50.0625,18.875,94.75,-0.8046875,0.5175781,0.1635742,0.1547852,0.2426758,-0.08544922
239,45.375,13.75,56.9375,-0.8935547,0.5410156,0.1904297,0.1606445,0.2387695,-0.08544922
244,32.6875,5.75,16.25,-0.9091797,0.5991211,0.2329102,0.1630859,0.2348633,-0.08984375
248,10.6875,-5.25,-25.875,-0.8046875,0.5410156,0.3095703,0.1630859,0.2363281,-0.09082031
252,-16.625,-13.8125,-59.0625,-0.6342773,0.2963867,0.3442383,0.1606445,0.2363281,-0.08837891
256,-38.5,-20.9375,-84.0625,-0.4868164,0.06298828,0.390625,0.1533203,0.2397461,-0.08984375
260,-62.1875,-25.5625,-97.9375,-0.28125,-0.2744141,0.3867188,0.1459961,0.2451172,-0.08544922
264,-67.875,-23,-92.5,-0.1572266,-0.6938477,0.3212891,0.1416016,0.2475586,-0.08300781
268,-41.6875,-10.8125,-84.9375,-0.2734375,-1.405273,0.1943359,0.1308594,0.2539063,-0.07861328
272,-5.25,0.0625,-103.4375,-0.2270508,-0.7016602,0.1904297,0.1235352,0.2587891,-0.07617188
276,4.6875,3.25,-116.5,-0.2504883,-0.4765625,0.2636719,0.1176758,0.262207,-0.07763672
280,-14.3125,-8,-121.1875,-0.2851563,-0.3637695,0.2675781,0.1044922,0.2661133,-0.07617188
284,-36.8125,-21.5625,-125.625,-0.2426758,-0.3481445,0.2788086,0.09277344,0.2709961,-0.07324219
288,-46.5625,-24.875,-130.625,-0.1108398,-0.421875,0.2519531,0.08447266,0.2763672,-0.06933594
292,-36.4375,-23.375,-139,-0.1459961,-0.5151367,0.1713867,0.07226563,0.2788086,-0.06542969
296,-15.5625,-22.0625,-156.1875,-0.1069336,-0.4609375,0.1479492,0.05712891,0.2836914,-0.06396484
300,-0.5,-21.0625,-166.0625,-0.02587891,-0.4179688,0.1367188,0.04736328,0.2851563,-0.06103516
304,4.8125,-25.9375,-177.625,-0.006347656,-0.3017578,0.1518555,0.02832031,0.2900391,-0.06103516
308,4.125,-33.6875,-189.1875,0.1015625,-0.3056641,0.1635742,0.009277344,0.2885742,-0.06103516
312,9.25,-35.5,-206.4375,0.2758789,-0.4101563,0.1635742,-0.001953125,0.2900391,-0.06103516
316,25.5,-33,-222.25,0.3457031,-0.453125,0.1674805,-0.0234375,0.2900391,-0.0625
320,24.5625,-38.1875,-244.4375,0.4580078,-0.2587891,0.2329102,-0.04833984,0.2885742,-0.06542969
324,-2.5,-44.125,-262.125,0.644043,-0.1308594,0.2866211,-0.06640625,0.2851563,-0.06640625
328,-34.375,-52,-254.75,0.7216797,-0.3364258,0.2172852,-0.09033203,0.2797852,-0.06103516
332,-26.5625,-51.375,-254.8125,0.7954102,-0.5854492,0.1098633,-0.1152344,0.2709961,-0.05566406
336,4.375,-43.5,-257.8125,0.8613281,-0.6748047,0.05566406,-0.1328125,0.2651367,-0.05273438
340,38.75,-41.75,-251.4375,0.7680664,-0.519043,0.005859375,-0.1567383,0.2563477,-0.05273438
344,40.3125,-59.125,-256.6875,0.8149414,0.02441406,0.07128906,-0.1791992,0.2412109,-0.05175781
348,6.75,-81.625,-255.5,0.9970703,0.0009765625,0.144043,-0.1938477,0.2324219,-0.05175781
352,1.8125,-85.25,-257.875,1.279785,-0.2587891,0.1289063,-0.2138672,0.2138672,-0.04492188
356,34.375,-75.5,-260.5,1.42334,-0.484375,0.1210938,-0.2353516,0.1972656,-0.04052734
360,80.4375,-64.375,-258.875,1.442383,-0.4101563,0.1132813,-0.2460938,0.1860352,-0.03515625
364,82.3125,-77.375,-267.8125,1.438477,0.2070313,0.1635742,-0.2636719,0.1635742,-0.03808594
368,15.25,-106.4375,-273.4375,1.833984,0.4555664,0.2788086,-0.2807617,0.1425781,-0.03125
373,-34.4375,-107.625,-249.25,2.26416,-0.3598633,0.3710938,-0.2890625,0.1264648,-0.02587891
377,-9.875,-79.1875,-222.625,2.426758,-1.665527,0.375,-0.3007813,0.1025391,-0.01367188
381,62.8125,-23.625,-183.625,2.527344,-1.342773,0.5097656,-0.309082,0.08496094,-0.01074219
385,139.4375,21.8125,-153.625,2.066406,-1.203125,0.4135742,-0.3115234,0.07275391,-0.01074219
389,147.5625,27.75,-130.3125,1.407715,-0.340332,0.2827148,-0.3173828,0.05859375,-0.01757813
393,66.8125,-28.125,-99.1875,1.02002,-0.1035156,0.409668,-0.3198242,0.04736328,-0.02050781
397,-0.1875,-67.875,-62.375,1.496582,-0.6005859,0.6865234,-0.3222656,0.04003906,-0.02148438
401,-5.875,-51.125,-28,1.856934,-1.016602,0.8867188,-0.3222656,0.03759766,-0.01367188
405,8.8125,-9.375,-0.1875,1.791016,-0.9350586,0.871582,-0.324707,0.03369141,-0.01074219
409,1.75,10.4375,16.875,1.372559,-0.7016602,0.7290039,-0.3232422,0.03271484,-0.01074219
413,-23.3125,7.875,33.4375,1.22168,-0.6591797,0.605957,-0.324707,0.03613281,-0.009277344
417,-40.3125,6.0625,49.5625,1.314453,-0.7641602,0.590332,-0.3222656,0.04150391,-0.01074219
421,-46.375,15.75,68.5,1.426758,-0.8066406,0.5444336,-0.3222656,0.04248047,-0.009277344
425,-54.0625,24.125,88,1.415527,-0.7563477,0.4907227,-0.3198242,0.05273438,-0.01220703
429,-67.5625,27.75,108.875,1.516113,-0.7524414,0.4482422,-0.3164063,0.06005859,-0.01074219
433,-77.8125,33.8125,130.25,1.585938,-0.8417969,0.3979492,-0.3125,0.06884766,-0.009277344
