Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-2.125,0.75,-2.5625,-0.7504883,-0.5463867,0.03662109,0.2319336,0.1459961,0.02539063
5,-11,-3.5625,-8.4375,-0.715332,-0.5854492,0.04785156,0.230957,0.1459961,0.02392578
9,-11.6875,-2.6875,-15.8125,-0.6572266,-0.6552734,0.09033203,0.2294922,0.1459961,0.02392578
13,-5.0625,-2,-32.4375,-0.6376953,-0.7211914,0.1171875,0.2294922,0.1474609,0.02539063
17,6.3125,-1.9375,-45.125,-0.7036133,-0.7680664,0.1132813,0.2270508,0.1499023,0.02539063
21,12.5625,-0.25,-40.0625,-0.6806641,-0.6821289,0.07910156,0.2246094,0.1538086,0.02392578
25,6.25,7.5625,-31.125,-0.6689453,-0.6083984,0.001953125,0.222168,0.15625,0.02392578
29,-1.5625,11.1875,-19.625,-0.6845703,-0.5966797,-0.109375,0.2211914,0.1577148,0.02685547
33,-12.4375,16.625,-12.75,-0.6069336,-0.5737305,-0.2167969,0.2202148,0.1611328,0.02539063
37,-21.4375,26.0625,-7.6875,-0.5332031,-0.6201172,-0.3666992,0.2177734,0.1611328,0.02978516
41,-27.625,39.75,-8.6875,-0.4672852,-0.6474609,-0.5014648,0.2177734,0.1601563,0.03222656
46,-36.75,54.75,-4.75,-0.4750977,-0.6396484,-0.6591797,0.215332,0.1586914,0.03515625
50,-51.125,68.625,3.0625,-0.5102539,-0.6201172,-0.7553711,0.215332,0.1601563,0.04443359
54,-67.4375,81.375,3.5625,-0.4946289,-0.6201172,-0.8168945,0.2119141,0.15625,0.04980469
58,-83,92.125,-6.5625,-0.5527344,-0.6748047,-0.84375,0.2104492,0.15625,0.06103516
62,-97.5,97.8125,-17.4375,-0.6650391,-0.7290039,-0.8325195,0.2070313,0.1523438,0.07177734
66,-109.4375,101.625,-28.9375,-0.7348633,-0.8105469,-0.7749023,0.2021484,0.1523438,0.08398438
70,-119.25,106.4375,-39.4375,-0.7890625,-0.8686523,-0.7670898,0.1938477,0.1499023,0.09765625
74,-127.25,116.625,-40.25,-0.8198242,-0.9272461,-0.7324219,0.1879883,0.1474609,0.1123047
78,-131.9375,133.625,-35.0625,-0.8393555,-0.9467773,-0.7363281,0.1806641,0.1435547,0.1220703
82,-135.9375,151.3125,-28.9375,-0.8857422,-0.9775391,-0.7133789,0.1699219,0.1411133,0.1396484
86,-138.0625,165.25,-23.8125,-0.9711914,-1.047363,-0.6977539,0.1591797,0.1347656,0.15625
90,-140.625,167.1875,-19.75,-1.083496,-1.016602,-0.7441406,0.1547852,0.1274414,0.1699219
94,-149.5625,160.3125,-23.0625,-1.125977,-0.9389648,-0.8017578,0.1416016,0.1210938,0.1845703
98,-160.0625,143.875,-28.4375,-1.168945,-0.9853516,-0.8745117,0.1293945,0.1113281,0.2011719
102,-171.5625,134.3125,-27.875,-1.052734,-0.9970703,-0.8823242,0.1210938,0.1035156,0.2080078
106,-175.5625,139.875,-21.1875,-0.9091797,-1.094238,-0.9169922,0.1118164,0.09228516,0.2172852
110,-167.1875,160.3125,-19.625,-0.8007813,-1.102051,-0.9326172,0.09765625,0.08007813,0.2280273
114,-160.8125,181.3125,-14.375,-0.8198242,-1.004883,-1.036133,0.08544922,0.07275391,0.2348633
118,-166.375,187.5625,-10.875,-0.8896484,-0.9541016,-1.121094,0.07226563,0.06103516,0.2431641
122,-175.25,180.875,-18.125,-0.8354492,-0.9428711,-1.217285,0.05322266,0.04638672,0.2524414
126,-179.8125,181.125,-31.6875,-0.6572266,-0.9038086,-1.182617,0.04394531,0.03759766,0.2553711
130,-174,196.4375,-33.6875,-0.5952148,-0.8920898,-1.209473,0.02832031,0.02392578,0.2607422
134,-176.25,217.8125,-26.4375,-0.7114258,-0.8803711,-1.121094,0.008300781,0.007324219,0.262207
138,-177.375,223.5625,-15.75,-0.8935547,-0.9194336,-0.9863281,-0.001953125,-0.0004882813,0.2636719
142,-176.5,215.3125,-14.25,-0.8164063,-0.7753906,-0.9555664,-0.02099609,-0.015625,0.2636719
146,-179.9375,201.25,-18,-0.6611328,-0.6044922,-1.109375,-0.03662109,-0.03173828,0.2607422
150,-194.4375,205.1875,-23.5625,-0.4404297,-0.5927734,-1.070801,-0.04736328,-0.04296875,0.2592773
154,-203.375,214.0625,-32.8125,-0.3046875,-0.4335938,-1.028809,-0.06054688,-0.05810547,0.2568359
158,-209.9375,229.0625,-21.4375,-0.6611328,-0.6977539,-0.7709961,-0.07568359,-0.07714844,0.2514648
162,-165.75,200.5625,27.8125,-1.013672,-0.8417969,-0.3862305,-0.08789063,-0.08447266,0.2446289
166,-141.8125,157.5625,32.6875,-0.765625,-0.3481445,-0.2553711,-0.09863281,-0.09716797,0.2392578
170,-137.8125,88.75,4.4375,-0.6264648,-0.4179688,-0.324707,-0.1069336,-0.1083984,0.2333984
175,-119.75,44.75,-32.0625,0.0009765625,-0.5698242,-0.1474609,-0.1079102,-0.1142578,0.2294922
179,-75.5,57.3125,-41.25,0.2294922,-0.6821289,0.03662109,-0.109375,-0.1245117,0.2270508
183,-19.8125,76.3125,-25.4375,-0.03320313,-0.6513672,0.1713867,-0.112793,-0.1293945,0.2241211
187,26.4375,65.25,-12.4375,-0.3354492,-0.3911133,0.2094727,-0.1152344,-0.1293945,0.2226563
191,51.375,26.6875,-9.9375,-0.4365234,-0.1811523,0.06738281,-0.1176758,-0.1279297,0.2226563
195,55.9375,-12.75,-10.4375,-0.3164063,-0.04882813,-0.1401367,-0.1176758,-0.1230469,0.2226563
199,49.25,-42.625,-16.1875,-0.08007813,0.04394531,-0.3398438,-0.1162109,-0.1220703,0.2255859
203,36.0625,-50.5625,-19,0.08251953,0.05517578,-0.394043,-0.112793,-0.1181641,0.2270508
