Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,5.4375,5.8125,1.5625,-0.9829102,-0.2626953,-0.07080078,0.2973633,0.05859375,-0.1142578
4,2.9375,8.3125,-1.1875,-1.005859,-0.2548828,-0.07470703,0.2973633,0.06005859,-0.112793
8,1.6875,10.3125,-7.3125,-1.075684,-0.2744141,-0.1166992,0.2973633,0.06005859,-0.1142578
12,2.0625,7.25,-16.0625,-1.15332,-0.2822266,-0.1513672,0.2949219,0.06103516,-0.1142578
16,-2.125,1.8125,-19.9375,-1.161133,-0.2822266,-0.1782227,0.2973633,0.06396484,-0.1113281
20,-9.0625,-3.25,-15.375,-1.157227,-0.340332,-0.1821289,0.2949219,0.0625,-0.1142578
24,-9.1875,-5.6875,-3.6875,-1.149414,-0.4101563,-0.1821289,0.2963867,0.06738281,-0.112793
28,-8.4375,-10.1875,-3.4375,-1.211426,-0.4257813,-0.1362305,0.2949219,0.06640625,-0.1113281
32,-7.625,-12.4375,-8.3125,-1.172852,-0.46875,-0.1245117,0.2949219,0.06640625,-0.1142578
36,-8.5,-11.1875,-10.5,-1.168945,-0.4804688,-0.1323242,0.2939453,0.06738281,-0.1142578
40,-4.125,-7.5625,-14.8125,-1.223145,-0.550293,-0.1245117,0.2939453,0.06884766,-0.1166992
44,2.625,-3,-14.9375,-1.265625,-0.6005859,-0.1166992,0.2924805,0.06982422,-0.1166992
48,7.875,-2.5625,-13.9375,-1.312012,-0.5581055,-0.09765625,0.2915039,0.06982422,-0.1181641
52,2.9375,-5.25,-8.375,-1.339355,-0.4882813,-0.08203125,0.2915039,0.07373047,-0.1157227
56,-4.75,-9.375,-7.625,-1.397461,-0.4414063,-0.06298828,0.2924805,0.07373047,-0.1181641
60,-15.9375,-13.375,-6.375,-1.389648,-0.4067383,-0.04736328,0.2900391,0.07275391,-0.1181641
64,-28.9375,-12.8125,-7.3125,-1.37793,-0.421875,0.009765625,0.2890625,0.07617188,-0.1181641
68,-35.75,-7.875,-14.3125,-1.37793,-0.5541992,0.05957031,0.2890625,0.07617188,-0.1181641
72,-31.9375,-0.375,-16.25,-1.319824,-0.6357422,0.09033203,0.2890625,0.07861328,-0.1166992
76,-21.125,10.75,-23.8125,-1.296875,-0.6552734,0.09033203,0.2866211,0.08007813,-0.1166992
80,-13.9375,24.5,-34.25,-1.246094,-0.6044922,0.07128906,0.2866211,0.08251953,-0.1157227
84,-7.5,34.4375,-44.9375,-1.25,-0.6123047,0.01708984,0.2856445,0.08740234,-0.1098633
88,-5.375,40.8125,-52.25,-1.20752,-0.5698242,-0.02832031,0.2841797,0.09130859,-0.105957
92,-11.875,39.5,-54.5,-1.25,-0.6123047,-0.08203125,0.2841797,0.09619141,-0.1044922
96,-8.9375,30.1875,-50.6875,-1.230957,-0.8183594,-0.1435547,0.2807617,0.09863281,-0.1005859
100,12.125,19.125,-43.9375,-1.083496,-0.8574219,-0.2285156,0.2807617,0.1064453,-0.09912109
104,29.1875,14.4375,-42.75,-0.9248047,-0.5112305,-0.1669922,0.2783203,0.1064453,-0.09521484
108,17.1875,12.1875,-38.25,-0.8935547,-0.4257813,-0.1362305,0.2783203,0.1088867,-0.09765625
112,22.6875,7.125,-48.875,-0.8237305,-0.5268555,-0.2167969,0.2734375,0.1123047,-0.09765625
116,27.75,-1,-38.3125,-0.7543945,-0.5307617,-0.2553711,0.2734375,0.1152344,-0.09667969
120,38.625,-14.3125,-31.4375,-0.7231445,-0.5,-0.3862305,0.2709961,0.1201172,-0.09912109
124,58.0625,-33.5625,-30.875,-0.6455078,-0.387207,-0.4667969,0.269043,0.1186523,-0.1020508
129,68.125,-55.125,-14.8125,-0.5024414,-0.2045898,-0.4130859,0.2666016,0.1210938,-0.1074219
133,66.25,-75.4375,4,-0.347168,-0.01416016,-0.324707,0.2651367,0.1186523,-0.1166992
137,66.5,-85.9375,14.5625,-0.1650391,0.06689453,-0.2089844,0.2626953,0.1162109,-0.125
141,73.6875,-77,16.5625,-0.03320313,0.02050781,-0.1630859,0.2626953,0.1137695,-0.1347656
145,102.125,-57.875,0.3125,0.02050781,0.05908203,-0.02832031,0.2592773,0.1098633,-0.144043
149,108.5,-42,-9.625,-0.04101563,0.315918,0.1328125,0.2583008,0.1064453,-0.1538086
153,74.9375,-38.1875,-6.6875,-0.1108398,0.5332031,0.3330078,0.2558594,0.1035156,-0.1591797
157,21.25,-36.75,-6.625,-0.2192383,0.5761719,0.4213867,0.2543945,0.1000977,-0.1616211
161,-35.75,-33.6875,-14.4375,-0.2348633,0.4633789,0.3671875,0.253418,0.1010742,-0.1660156
165,-78.125,-27.3125,-20.8125,-0.2734375,0.07861328,0.1518555,0.25,0.1035156,-0.1674805
169,-85.375,-14.1875,-14.0625,-0.2001953,-0.4453125,-0.02441406,0.25,0.1088867,-0.1645508
173,-68.9375,11.875,8.9375,-0.2001953,-0.7290039,-0.1743164,0.2485352,0.1123047,-0.1606445
177,-39.875,45.875,13.6875,-0.1499023,-0.6748047,-0.378418,0.2475586,0.1137695,-0.1591797
181,-10.9375,68.875,14.0625,-0.4482422,-0.6552734,-0.559082,0.2519531,0.1152344,-0.1508789
185,7.875,67,11.625,-0.6494141,-0.4960938,-0.574707,0.253418,0.1152344,-0.1455078
189,10,53.0625,16.25,-0.6611328,-0.2822266,-0.4282227,0.2568359,0.1137695,-0.144043
193,8.1875,43.6875,14.875,-0.5527344,-0.1967773,-0.2285156,0.2583008,0.1098633,-0.1401367
197,10.75,38.375,5,-0.4750977,-0.1308594,-0.09765625,0.2602539,0.1098633,-0.1386719
