Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-0.75,1.8125,-5.4375,0.9038086,-0.2939453,0.2827148,-0.2363281,0.1274414,-0.1699219
4,-0.4375,2,-4.9375,0.8999023,-0.2939453,0.2788086,-0.2353516,0.1274414,-0.1660156
8,-0.5625,1.9375,-2.375,0.8959961,-0.3056641,0.2709961,-0.2363281,0.1264648,-0.1645508
12,0.4375,0.1875,-1.875,0.8803711,-0.3017578,0.2597656,-0.2353516,0.125,-0.1645508
16,0.875,0.125,-0.5,0.9077148,-0.2822266,0.2709961,-0.2363281,0.1264648,-0.1674805
20,1.5,1.375,-2.4375,0.8920898,-0.2978516,0.2636719,-0.2353516,0.1264648,-0.1674805
24,3,1.625,-4.875,0.8959961,-0.2744141,0.2709961,-0.2353516,0.125,-0.168457
28,-1.125,1.5625,-3.375,0.8999023,-0.2666016,0.2866211,-0.234375,0.1235352,-0.168457
32,-5.4375,0.125,-2.75,0.8999023,-0.2978516,0.3017578,-0.2363281,0.1235352,-0.168457
36,-6.6875,-0.4375,-2.5625,0.9272461,-0.3325195,0.3095703,-0.2363281,0.1235352,-0.1674805
41,-8.625,0.625,-3.0625,0.9775391,-0.3520508,0.3291016,-0.2363281,0.1235352,-0.1660156
45,-13.8125,3.125,-1.875,1.043457,-0.402832,0.3945313,-0.237793,0.1235352,-0.1674805
49,-19.625,7.9375,3.75,1.105469,-0.534668,0.4287109,-0.2387695,0.1235352,-0.1674805
53,-17.875,12.5,14.3125,1.109375,-0.6899414,0.4672852,-0.234375,0.1235352,-0.1674805
57,-13.0625,16.0625,25.125,1.132324,-0.7407227,0.4829102,-0.2353516,0.1289063,-0.1660156
61,-15.1875,20.375,34.375,1.233398,-0.7329102,0.5634766,-0.2319336,0.1313477,-0.168457
65,-27.375,25.3125,52.9375,1.326172,-0.7910156,0.5981445,-0.2304688,0.1362305,-0.168457
69,-37.5,31,72,1.368652,-0.9194336,0.5942383,-0.2280273,0.1386719,-0.1674805
73,-38.8125,37.4375,100.25,1.361328,-1.02832,0.5483398,-0.2236328,0.1450195,-0.168457
77,-30.75,42.5,120,1.353516,-1.070801,0.5327148,-0.2138672,0.1538086,-0.168457
