Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
2,9,-6.375,-4.375,-0.7734375,-0.5854492,-0.1245117,0.2485352,0.1499023,-0.1098633
6,9.9375,-6.1875,-4.5,-0.7851563,-0.6005859,-0.1245117,0.2485352,0.1499023,-0.112793
10,11.5,-6.5,-5.25,-0.7929688,-0.5966797,-0.1245117,0.2485352,0.1499023,-0.1142578
14,13.3125,-6.6875,-8.5625,-0.8007813,-0.5927734,-0.128418,0.2475586,0.1499023,-0.1157227
18,16.5625,-5.1875,-11.8125,-0.796875,-0.6044922,-0.1206055,0.2475586,0.1499023,-0.1157227
22,18.3125,-4.375,-10.3125,-0.8198242,-0.6201172,-0.1166992,0.2475586,0.1499023,-0.1166992
26,20.1875,-3.25,-10.375,-0.8354492,-0.5927734,-0.1245117,0.2460938,0.1489258,-0.1166992
30,21.0625,-1.3125,-13.5625,-0.8818359,-0.6162109,-0.1245117,0.2460938,0.1513672,-0.1196289
34,27.75,-0.5625,-23.3125,-0.7851563,-0.3325195,-0.1435547,0.2460938,0.1523438,-0.1210938
38,26.5625,0.1875,-18.25,-0.9907227,-0.6708984,-0.1591797,0.2436523,0.1523438,-0.1210938
42,25.5625,-1.75,-19.625,-0.9946289,-0.6435547,-0.1860352,0.2426758,0.1523438,-0.1225586
46,20.375,-3.125,-17.8125,-1.009766,-0.6787109,-0.2167969,0.2436523,0.1538086,-0.1235352
50,18,-8.25,-16.5,-1.071777,-0.7329102,-0.2128906,0.2402344,0.1547852,-0.1264648
54,14.4375,-14.875,-17.375,-1.091309,-0.7446289,-0.1669922,0.2412109,0.1538086,-0.1264648
58,9.9375,-18.5,-20.375,-1.052734,-0.7641602,-0.1054688,0.2392578,0.1547852,-0.1279297
62,7.5,-16.625,-24.9375,-1.021484,-0.8457031,-0.04736328,0.237793,0.15625,-0.1318359
67,5.375,-12.125,-23.25,-0.9672852,-0.8803711,0.005859375,0.2353516,0.1586914,-0.1318359
71,0.9375,-8.875,-18.875,-0.9091797,-0.8725586,0.09814453,0.234375,0.1601563,-0.1347656
75,-6.5625,-1.625,-15.875,-0.8198242,-0.8686523,0.125,0.2319336,0.1601563,-0.1333008
79,-10.9375,15.5625,-18.5625,-0.7231445,-0.9272461,0.125,0.2319336,0.1625977,-0.1333008
83,-11.5,41.25,-20,-0.7075195,-1.055176,0.06347656,0.2294922,0.1635742,-0.1303711
87,-8.5,59.0625,-21.5625,-0.8510742,-1.109863,-0.03222656,0.2329102,0.1660156,-0.1264648
91,-10.5,60.1875,-16.6875,-0.9907227,-1.059082,-0.112793,0.230957,0.1674805,-0.1225586
95,-15.5625,49.125,-8.125,-1.083496,-1.074707,-0.1401367,0.2319336,0.1699219,-0.1196289
99,-13.25,42.4375,-3.1875,-1.013672,-1.043945,-0.1245117,0.2319336,0.1689453,-0.1142578
103,-11.1875,41.375,-3.9375,-1.009766,-0.9697266,-0.09765625,0.2329102,0.1699219,-0.1098633
107,-12,42.0625,-11.5,-1.013672,-0.8803711,-0.06298828,0.234375,0.1723633,-0.1088867
111,-11.6875,43.3125,-18.5,-0.9438477,-0.8920898,-0.02832031,0.2329102,0.1723633,-0.1020508
115,-6.0625,44,-20.1875,-0.9365234,-0.8647461,-0.03222656,0.2329102,0.1738281,-0.1005859
119,-6.5625,39.1875,-19.3125,-0.9438477,-0.7133789,-0.01660156,0.2329102,0.1762695,-0.09667969
123,-14.625,30.875,-21.0625,-0.878418,-0.6240234,-0.01660156,0.2319336,0.1748047,-0.09375
