Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,7.4375,-12.5,8.3125,0.2333984,-0.9775391,-0.1435547,-0.1079102,0.2963867,-0.08300781
4,7.6875,-12.1875,8.125,0.2373047,-0.9736328,-0.1474609,-0.1054688,0.2988281,-0.08154297
8,9.6875,-11.125,8.5,0.2333984,-0.9775391,-0.1435547,-0.1054688,0.2973633,-0.08300781
12,11.5625,-12.25,7.1875,0.2255859,-0.9541016,-0.1669922,-0.1030273,0.3012695,-0.08447266
16,9.8125,-13.75,7.5,0.2177734,-0.9350586,-0.1743164,-0.1020508,0.3012695,-0.08544922
20,7.9375,-14.3125,8.75,0.2294922,-0.9350586,-0.1708984,-0.1010742,0.3012695,-0.08447266
24,6.375,-11.1875,9.875,0.2373047,-0.9506836,-0.1708984,-0.1010742,0.3022461,-0.08544922
28,4.125,-6.5625,13.3125,0.2216797,-0.9350586,-0.1743164,-0.09863281,0.3037109,-0.08691406
32,1.25,-3.375,14.625,0.2138672,-0.9506836,-0.1899414,-0.09619141,0.3037109,-0.08691406
36,-2.3125,-3.8125,12.9375,0.2255859,-0.9350586,-0.2246094,-0.09228516,0.3061523,-0.08691406
40,-4.75,-2.875,4.9375,0.2758789,-0.9467773,-0.1977539,-0.09472656,0.3061523,-0.08691406
45,-3.625,0.8125,4.4375,0.3149414,-1.016602,-0.1899414,-0.09619141,0.3046875,-0.08544922
49,-2,3,5.75,0.4311523,-1.020508,-0.2207031,-0.09472656,0.3061523,-0.08691406
53,-0.375,8.75,-3.4375,0.578125,-0.9467773,-0.2055664,-0.09619141,0.3046875,-0.08837891
57,0.4375,19.75,-18.4375,0.675293,-0.9233398,-0.2324219,-0.09716797,0.3037109,-0.08544922
61,-1.4375,19.4375,-29.625,0.7568359,-0.9658203,-0.2783203,-0.1020508,0.2998047,-0.08544922
65,0.375,18.25,-52.0625,0.9311523,-0.9428711,-0.2592773,-0.1103516,0.293457,-0.08544922
69,1.25,16.375,-71.9375,0.9970703,-0.9892578,-0.2783203,-0.1176758,0.2900391,-0.08447266
73,-0.25,4.375,-85.875,1.089844,-0.9814453,-0.2978516,-0.1293945,0.28125,-0.08007813
77,-3.875,0.75,-97.5,1.361328,-1.012695,-0.2475586,-0.1425781,0.2724609,-0.07763672
81,-7.6875,20.125,-100.75,1.63623,-1.11377,-0.1513672,-0.1508789,0.2685547,-0.07470703
85,-6.4375,47.6875,-104.4375,1.841797,-1.207031,-0.1323242,-0.1616211,0.2587891,-0.07177734
89,-1.4375,69.75,-120.1875,1.922852,-1.199219,-0.1630859,-0.1699219,0.2524414,-0.07324219
93,-0.375,75.9375,-148,1.918945,-1.21875,-0.2553711,-0.1772461,0.2436523,-0.07470703
97,-3.0625,73.1875,-174.5625,1.961914,-1.366211,-0.2900391,-0.1889648,0.2363281,-0.07763672
101,-5.0625,74.4375,-196.4375,2.02002,-1.576172,-0.3476563,-0.203125,0.2260742,-0.08154297
105,-7,84.0625,-209.8125,2.116699,-1.781738,-0.3286133,-0.2114258,0.2172852,-0.08154297
109,-7.8125,108.1875,-222.4375,2.186523,-1.890625,-0.3325195,-0.2255859,0.2036133,-0.08691406
113,-13.6875,145.75,-227.875,2.082031,-2.038574,-0.3706055,-0.2387695,0.1899414,-0.09375
117,-17.4375,177.25,-226.9375,1.810547,-2.232422,-0.4013672,-0.2470703,0.1787109,-0.1020508
121,-11.1875,188.625,-222.1875,1.481445,-2.333496,-0.4477539,-0.2553711,0.1625977,-0.1113281
125,-0.625,176.1875,-222,1.237305,-2.287109,-0.4477539,-0.2651367,0.1459961,-0.1289063
129,13.0625,155.6875,-234.5,1.082031,-2.17041,-0.359375,-0.2724609,0.1337891,-0.137207
133,26.5625,126.5,-248.875,0.9233398,-2.045898,-0.3359375,-0.2783203,0.1113281,-0.1469727
137,34.375,91,-262.625,0.8535156,-1.886719,-0.3012695,-0.2851563,0.08886719,-0.1577148
141,39.625,72.9375,-269.3125,0.9389648,-1.785645,-0.309082,-0.2915039,0.07128906,-0.1645508
145,38.375,83.125,-266.25,0.9853516,-1.67334,-0.3325195,-0.2958984,0.04248047,-0.1674805
149,35.5,103.75,-261,0.8339844,-1.564453,-0.3862305,-0.2958984,0.01513672,-0.1796875
153,29.4375,110.4375,-253.25,0.6015625,-1.389648,-0.4667969,-0.2958984,-0.003417969,-0.1865234
157,21.3125,107.4375,-247.3125,0.4506836,-1.272949,-0.4594727,-0.2915039,-0.02832031,-0.1943359
161,13.375,103.75,-237.25,0.3574219,-1.171875,-0.378418,-0.2866211,-0.05322266,-0.2041016
165,6.5,104.875,-219.6875,0.3032227,-1.086426,-0.3129883,-0.2807617,-0.06689453,-0.2109375
169,0.3125,112.5625,-202.9375,0.2373047,-0.9931641,-0.2089844,-0.2724609,-0.08837891,-0.2202148
174,1.125,117.375,-186,0.1132813,-0.9233398,-0.1401367,-0.2626953,-0.1069336,-0.2299805
178,5.6875,118.4375,-171.0625,-0.08007813,-0.8920898,-0.06298828,-0.2543945,-0.1166992,-0.2368164
182,12.625,114.625,-158.25,-0.1650391,-0.7832031,-0.04394531,-0.2412109,-0.1308594,-0.2475586
186,15.8125,104.875,-147.3125,-0.246582,-0.5854492,-0.04003906,-0.2255859,-0.1445313,-0.2514648
190,15.125,93.4375,-137.6875,-0.3510742,-0.4179688,-0.005371094,-0.2172852,-0.1533203,-0.2583008
194,13.875,82.6875,-125.0625,-0.4052734,-0.3208008,-0.009277344,-0.206543,-0.1630859,-0.2651367
198,12.75,69.6875,-112.1875,-0.4946289,-0.1811523,0.01708984,-0.1948242,-0.171875,-0.269043
202,11.9375,55.1875,-97.25,-0.5449219,-0.09179688,0.04443359,-0.1889648,-0.1782227,-0.2719727
206,10.25,42,-79.4375,-0.5795898,0.01269531,0.05957031,-0.1782227,-0.1855469,-0.2734375
210,7.625,31.375,-63.3125,-0.5834961,0.07861328,0.07519531,-0.1733398,-0.1904297,-0.2758789
214,7.25,22,-48.875,-0.5874023,0.1254883,0.07910156,-0.1699219,-0.1918945,-0.2788086
218,6.6875,14.4375,-38,-0.6225586,0.1875,0.05566406,-0.1674805,-0.1958008,-0.2773438
222,1.6875,2.9375,-24.4375,-0.6923828,0.2299805,-0.005371094,-0.1640625,-0.1982422,-0.2788086
226,-8.5625,-10,-6.5,-0.7114258,0.2338867,0.009765625,-0.1625977,-0.1982422,-0.2788086
230,-14,-15.875,14.625,-0.6494141,0.15625,0.05566406,-0.1625977,-0.1958008,-0.2773438
234,-16.625,-14.875,34.625,-0.6186523,0.1254883,0.06738281,-0.1650391,-0.1958008,-0.2773438
238,-19.75,-16.25,53.6875,-0.6225586,0.1020508,0.02880859,-0.1674805,-0.1918945,-0.2773438
242,-22.9375,-16.75,73.9375,-0.5874023,-0.006347656,0.04443359,-0.1723633,-0.1870117,-0.2788086
246,-21.625,-18.8125,92.75,-0.5874023,-0.1035156,0.005859375,-0.1791992,-0.1821289,-0.2773438
250,-20.5625,-23.625,109.625,-0.5527344,-0.1967773,-0.03613281,-0.1831055,-0.1767578,-0.2773438
254,-19.625,-29.3125,126.5625,-0.5644531,-0.2744141,-0.128418,-0.1875,-0.1669922,-0.2758789
258,-18.6875,-44.75,135.8125,-0.5683594,-0.3134766,-0.2670898,-0.1962891,-0.1567383,-0.2734375
262,-27.375,-67.3125,145.4375,-0.5488281,-0.3286133,-0.3554688,-0.2045898,-0.1494141,-0.2705078
266,-40.625,-84.5625,163.125,-0.3901367,-0.484375,-0.3632813,-0.2138672,-0.1367188,-0.2680664
270,-57.75,-83.5,190,-0.1533203,-0.6860352,-0.3168945,-0.2280273,-0.1196289,-0.2626953
274,-71.8125,-68.3125,218.1875,0.08251953,-0.9233398,-0.2285156,-0.234375,-0.1044922,-0.2597656
278,-78.75,-52.625,240.5,0.2685547,-1.105957,-0.1206055,-0.2426758,-0.08203125,-0.2568359
282,-82.1875,-41.4375,248.6875,0.4077148,-1.210938,-0.07861328,-0.2485352,-0.05712891,-0.2514648
286,-83.625,-36.1875,249.1875,0.4697266,-1.362305,-0.07080078,-0.2495117,-0.03808594,-0.2514648
290,-81.75,-39.625,247.875,0.4658203,-1.471191,-0.07861328,-0.2519531,-0.01171875,-0.2460938
294,-81,-54.0625,246,0.4697266,-1.490723,-0.09765625,-0.2519531,0.01611328,-0.2421875
298,-87.6875,-68.1875,246.5625,0.6210938,-1.552734,-0.06689453,-0.2519531,0.03271484,-0.2407227
303,-91.3125,-76.1875,247.25,0.7641602,-1.704102,-0.06298828,-0.2485352,0.05615234,-0.2299805
307,-93.0625,-86,244.1875,0.9541016,-1.809082,0.001953125,-0.2460938,0.08496094,-0.2216797
311,-90.75,-86.9375,234.875,1.198242,-1.898438,0.07519531,-0.2426758,0.1010742,-0.2148438
315,-93,-73,230.375,1.380371,-1.929688,0.159668,-0.2363281,0.1235352,-0.2041016
319,-98.4375,-48,229.9375,1.376465,-1.995605,0.1982422,-0.2255859,0.1459961,-0.1972656
323,-105.625,-30.375,235.25,1.198242,-2.081055,0.1826172,-0.21875,0.1625977,-0.1904297
327,-110.1875,-29.6875,238.875,0.9541016,-2.248047,0.1557617,-0.203125,0.1826172,-0.1835938
331,-102.8125,-75.25,239.5625,0.7758789,-2.325684,0.1289063,-0.1855469,0.2011719,-0.1728516
335,-82.9375,-137.0625,218.9375,1.082031,-2.298828,0.140625,-0.1772461,0.2124023,-0.1660156
339,-52.9375,-167.5,189.75,1.481445,-2.228516,0.2021484,-0.168457,0.2260742,-0.1523438
343,-26.1875,-163,163.25,1.566406,-2.030762,0.1826172,-0.1591797,0.2324219,-0.1425781
347,-18,-153.375,168.6875,1.481445,-1.848145,0.1020508,-0.1542969,0.2373047,-0.137207
351,-10.6875,-168.4375,183.9375,1.585938,-1.727539,-0.02832031,-0.1450195,0.2460938,-0.1289063
355,0.625,-176.3125,176.4375,1.907715,-1.541016,-0.03613281,-0.1328125,0.2548828,-0.1235352
359,18.625,-154.5625,168.3125,1.942383,-1.521484,0.005859375,-0.1245117,0.2573242,-0.125
363,33.6875,-145.125,154.125,1.818359,-1.222656,-0.1591797,-0.112793,0.2651367,-0.1264648
367,17.75,-194.75,142.625,1.895996,-1.036133,-0.4130859,-0.09716797,0.2749023,-0.137207
371,-1.6875,-267.1875,197.3125,6.716309,-1.350586,0.5869141,-0.08886719,0.2797852,-0.1494141
375,23.25,13.6875,-47.25,4.325684,-1.08252,-0.001464844,-0.08544922,0.2861328,-0.1547852
379,17.5,57.875,-160.5,1.907715,-0.6630859,-0.2553711,-0.09472656,0.2788086,-0.1469727
383,-4.5625,35.8125,-116.4375,1.430664,-0.9580078,-0.4091797,-0.1069336,0.2763672,-0.1357422
387,-28.6875,59.8125,-91.25,1.76416,-0.8066406,-0.1708984,-0.1186523,0.2700195,-0.125
391,-50.6875,114.25,-82.5,1.818359,-1.040039,-0.1206055,-0.128418,0.2636719,-0.1142578
395,-54.625,142.9375,-97.625,1.624512,-1.276855,-0.1054688,-0.1318359,0.2612305,-0.112793
399,-44.9375,142.5625,-121.8125,1.461914,-1.544922,-0.1015625,-0.1391602,0.2573242,-0.1098633
403,-25.8125,126.8125,-150.875,1.349609,-1.630371,-0.09375,-0.1435547,0.2524414,-0.1098633
407,-16.5,116.1875,-168.6875,1.306641,-1.665527,-0.04736328,-0.1518555,0.25,-0.112793
411,-12.875,102.8125,-169.625,1.229492,-1.731445,-0.07080078,-0.1616211,0.2426758,-0.1157227
415,-3.0625,88.5,-174.6875,1.306641,-1.781738,-0.0859375,-0.1733398,0.2373047,-0.1181641
419,8.8125,78.1875,-192,1.384277,-1.785645,-0.1513672,-0.1791992,0.2299805,-0.1235352
423,16.75,70.125,-214.0625,1.426758,-1.785645,-0.1669922,-0.1938477,0.2211914,-0.125
427,20.9375,72.1875,-227.25,1.450195,-1.820801,-0.1708984,-0.2089844,0.2075195,-0.1303711
432,21.9375,80.4375,-232.375,1.403809,-1.820801,-0.2089844,-0.21875,0.1972656,-0.1347656
436,24.125,82.25,-237.625,1.268066,-1.859863,-0.2246094,-0.2319336,0.1826172,-0.1425781
440,29.6875,81,-236.6875,1.22168,-1.848145,-0.2363281,-0.2460938,0.1650391,-0.1484375
444,33.875,85.0625,-240.6875,1.229492,-1.844238,-0.1860352,-0.2553711,0.1499023,-0.1523438
448,41.9375,95.75,-247.5625,1.209961,-1.852051,-0.1552734,-0.2651367,0.1298828,-0.1616211
452,46.8125,109.8125,-247.6875,1.147949,-1.754883,-0.1166992,-0.2724609,0.1049805,-0.1713867
456,50.875,123.3125,-241.5,1.070313,-1.754883,-0.128418,-0.2768555,0.08984375,-0.1767578
460,53.9375,139.375,-232.9375,1.078125,-1.665527,-0.06298828,-0.2792969,0.06396484,-0.1875
464,66.6875,148.625,-237.125,0.9736328,-1.583984,-0.09765625,-0.2783203,0.03857422,-0.2041016
468,75.625,153,-242.9375,0.9077148,-1.412598,-0.1054688,-0.2758789,0.02148438,-0.2133789
472,77.625,152.5,-243.375,0.7255859,-1.315918,-0.1474609,-0.2709961,-0.004394531,-0.2270508
476,75.125,136.3125,-241.625,0.4077148,-1.152344,-0.1435547,-0.2617188,-0.03320313,-0.2407227
480,69.875,105.3125,-231,0.206543,-1.144531,-0.128418,-0.2543945,-0.05175781,-0.2475586
484,67.1875,77.3125,-212.6875,0.1791992,-1.062988,-0.01660156,-0.2460938,-0.07324219,-0.2558594
488,65.1875,70.5,-194.1875,0.2451172,-0.8647461,0.03271484,-0.2363281,-0.09814453,-0.2612305
492,59.4375,79.5625,-177.8125,0.2685547,-0.8144531,0.09423828,-0.2319336,-0.109375,-0.2636719
496,64.75,88.9375,-169.4375,0.1987305,-0.7368164,0.03662109,-0.2197266,-0.1279297,-0.269043
500,63.6875,92.1875,-160.9375,0.07080078,-0.550293,-0.01318359,-0.2104492,-0.1445313,-0.2734375
504,57.3125,86.25,-148.1875,-0.1845703,-0.4179688,-0.09765625,-0.1982422,-0.1557617,-0.2749023
508,51,68.9375,-128.25,-0.3706055,-0.2666016,-0.128418,-0.1865234,-0.1704102,-0.2773438
512,43.4375,48.625,-111.5,-0.4711914,-0.1269531,-0.1323242,-0.1757813,-0.1806641,-0.2802734
516,34,32.625,-94.875,-0.4711914,-0.08007813,-0.0859375,-0.1723633,-0.1870117,-0.2802734
520,33.25,27.3125,-84.9375,-0.3901367,-0.09960938,0.01708984,-0.1640625,-0.1958008,-0.2802734
524,36.3125,29.375,-77.1875,-0.4287109,-0.02197266,0.03271484,-0.1567383,-0.2006836,-0.2817383
528,34.4375,22.0625,-65.8125,-0.6376953,0.06689453,-0.04003906,-0.1518555,-0.2080078,-0.2802734
532,29.9375,2.375,-49.9375,-0.6342773,0.171875,-0.05517578,-0.1474609,-0.2104492,-0.2802734
536,21.5,-17.75,-25.6875,-0.8276367,0.21875,-0.08984375,-0.1459961,-0.2158203,-0.2802734
540,10.1875,-31.125,-3.5,-0.7504883,0.2456055,-0.06298828,-0.1459961,-0.2158203,-0.2773438
544,-3.375,-38.875,20.8125,-0.6611328,0.171875,-0.02050781,-0.1484375,-0.2192383,-0.2758789
548,-10.125,-45.4375,40,-0.5683594,0.105957,0.02099609,-0.1542969,-0.2167969,-0.2734375
552,-13.6875,-48.8125,54.625,-0.4750977,0.03613281,0.03271484,-0.1591797,-0.2143555,-0.2734375
556,-14.8125,-55.4375,65.5625,-0.4521484,-0.02587891,0.02880859,-0.1650391,-0.2094727,-0.2705078
561,-14.5,-65.5,77.75,-0.4169922,-0.08789063,0.03662109,-0.1733398,-0.2055664,-0.269043
565,-17.0625,-77.6875,93.6875,-0.3549805,-0.1811523,0.01708984,-0.1816406,-0.2006836,-0.2636719
569,-18.9375,-89.25,108.25,-0.230957,-0.2314453,0.06347656,-0.1899414,-0.1933594,-0.2612305
573,-19.1875,-90.0625,125.6875,-0.03320313,-0.3017578,0.1210938,-0.2045898,-0.1855469,-0.2568359
577,-15.9375,-76.5625,140.0625,0.1791992,-0.4140625,0.1635742,-0.2114258,-0.1757813,-0.2529297
581,-11.1875,-63.125,150.375,0.2490234,-0.4140625,0.1210938,-0.2236328,-0.1630859,-0.2490234
585,-12.4375,-63.375,157.9375,0.2646484,-0.421875,0.04785156,-0.234375,-0.1533203,-0.2446289
589,-17.375,-67.75,163,0.3886719,-0.5112305,0.04052734,-0.2402344,-0.1445313,-0.2392578
593,-22.4375,-55.875,174.6875,0.574707,-0.6591797,0.07128906,-0.2509766,-0.1279297,-0.2368164
597,-24.875,-31.5,188.5625,0.6982422,-0.7792969,0.09814453,-0.2592773,-0.1108398,-0.2324219
601,-26.0625,-17,196.1875,0.7216797,-0.6899414,0.03271484,-0.2636719,-0.09960938,-0.230957
605,-38.75,-15.875,198.125,0.7568359,-0.6201172,-0.04736328,-0.2661133,-0.07958984,-0.230957
609,-55.25,-13.75,197.9375,0.7680664,-0.7329102,-0.02050781,-0.2685547,-0.05810547,-0.2299805
613,-62.3125,-21.6875,200.25,0.625,-0.8842773,-0.02050781,-0.2700195,-0.04296875,-0.2270508
617,-66.5,-45.9375,204.875,0.5898438,-1.008789,-0.009277344,-0.2709961,-0.02197266,-0.2255859
621,-69,-70.6875,214.125,0.690918,-1.195313,0.05566406,-0.2744141,0.001464844,-0.2216797
625,-64.75,-91.1875,220.1875,0.7993164,-1.327148,0.07519531,-0.2744141,0.01757813,-0.2133789
629,-56.8125,-110.8125,222.4375,0.9350586,-1.455566,0.03662109,-0.2758789,0.04248047,-0.2055664
633,-46.75,-122.9375,216.3125,1.13623,-1.548828,0.01367188,-0.2758789,0.06396484,-0.1958008
637,-35.9375,-121.375,208.375,1.26416,-1.576172,0.02099609,-0.2758789,0.08105469,-0.1865234
641,-29.0625,-108.875,204.625,1.268066,-1.580078,-0.01318359,-0.2734375,0.09863281,-0.1767578
645,-24,-100.9375,206.8125,1.144043,-1.568359,-0.0859375,-0.2675781,0.1186523,-0.1660156
649,-21.75,-105.9375,208.9375,1.09375,-1.494629,-0.1669922,-0.2617188,0.1313477,-0.1616211
653,-23.375,-111.75,206.5,1.05127,-1.475098,-0.2207031,-0.2519531,0.1513672,-0.1508789
657,-24.8125,-124.1875,210.125,0.9389648,-1.552734,-0.2861328,-0.2470703,0.1660156,-0.1425781
661,-25.625,-140.3125,216.1875,0.9814453,-1.638184,-0.2670898,-0.2387695,0.1762695,-0.1347656
665,-20.1875,-150.1875,218.125,1.109375,-1.583984,-0.2783203,-0.2270508,0.1914063,-0.125
669,-19.125,-148,219,1.279785,-1.45166,-0.324707,-0.2163086,0.2060547,-0.1113281
673,-20.1875,-124.5625,219.5625,1.550781,-1.505859,-0.2397461,-0.2089844,0.2163086,-0.1074219
677,-3.375,-78.3125,204.0625,1.670898,-1.412598,-0.1474609,-0.1948242,0.2260742,-0.09912109
681,0.8125,-32.6875,186.375,1.380371,-1.199219,-0.1977539,-0.1831055,0.2373047,-0.09667969
685,-16.8125,-24,187.25,1.027832,-1.21875,-0.2744141,-0.1723633,0.2426758,-0.09521484
690,-30.3125,-52.4375,193,0.9311523,-1.37793,-0.3286133,-0.1591797,0.2509766,-0.09375
694,-39,-94.875,174.9375,1.124512,-1.463379,-0.2900391,-0.1450195,0.2597656,-0.08837891
698,-25.6875,-141.125,152.5625,1.39209,-1.731445,-0.2783203,-0.1391602,0.2675781,-0.08691406
702,1.6875,-186.75,127.75,1.984863,-1.634277,-0.2939453,-0.1303711,0.2724609,-0.07861328
706,28.25,-193.5625,98.375,3.275391,-1.432129,-0.2207031,-0.128418,0.2797852,-0.06933594
710,18.75,34.8125,-8.375,5.178223,-0.8574219,-0.02441406,-0.1245117,0.2861328,-0.06787109
714,35.5625,58.375,-57.5,2.504395,-0.8339844,-0.7822266,-0.1259766,0.2836914,-0.07324219
718,13.9375,56.6875,-73.375,2.384277,-0.534668,-0.559082,-0.1269531,0.2788086,-0.07861328
722,-24.1875,93.1875,-94.625,2.349121,-0.9038086,-0.2939453,-0.1342773,0.2763672,-0.08300781
726,-20,151.1875,-107.1875,2.221191,-1.350586,-0.2089844,-0.1352539,0.2724609,-0.08154297
730,-8.6875,179.4375,-121.25,1.942383,-1.362305,-0.2285156,-0.1376953,0.2651367,-0.08544922
734,-7.375,169.6875,-148.6875,1.663574,-1.393555,-0.2436523,-0.1425781,0.262207,-0.09082031
738,0.625,131.25,-188.125,1.473633,-1.661621,-0.1323242,-0.1518555,0.2563477,-0.09521484
742,25.25,90,-213.875,1.484863,-1.867188,-0.06298828,-0.1640625,0.2451172,-0.1020508
746,39.375,73.9375,-223.0625,1.616699,-1.890625,-0.02050781,-0.1748047,0.2373047,-0.1044922
750,42.1875,75.125,-225.6875,1.694336,-1.910156,-0.06298828,-0.1899414,0.2275391,-0.1113281
754,46.375,81.8125,-240.5,1.748535,-2.007324,-0.1015625,-0.2045898,0.2138672,-0.1181641
758,52.3125,93.125,-255.0625,1.740723,-2.034668,-0.1166992,-0.215332,0.2036133,-0.125
762,49.25,114,-265.375,1.651855,-2.092773,-0.1206055,-0.2294922,0.1850586,-0.1333008
766,51.3125,127.125,-271.125,1.395996,-2.221191,-0.1630859,-0.2446289,0.1660156,-0.1455078
770,57.25,125.75,-267.875,1.213867,-2.17041,-0.1743164,-0.2553711,0.1513672,-0.1538086
774,59.875,121.8125,-263.0625,1.082031,-2.104492,-0.2016602,-0.2651367,0.1264648,-0.1660156
778,62.125,116,-257.75,0.9501953,-2.038574,-0.2016602,-0.2709961,0.1000977,-0.1782227
782,68.0625,104,-255,0.8378906,-1.882813,-0.1860352,-0.2758789,0.08251953,-0.1865234
786,71,90.1875,-257.4375,0.7954102,-1.727539,-0.1669922,-0.2807617,0.05517578,-0.1943359
790,70.1875,81.5625,-258.125,0.7797852,-1.638184,-0.1323242,-0.2817383,0.02734375,-0.2026367
794,71.4375,83.0625,-251.0625,0.7719727,-1.513672,-0.1401367,-0.2817383,0.007324219,-0.2080078
798,67.125,88.625,-240.6875,0.6831055,-1.338867,-0.1552734,-0.2807617,-0.01806641,-0.2148438
802,61.5,88.875,-227.6875,0.609375,-1.164063,-0.1552734,-0.2758789,-0.04589844,-0.2231445
806,54.125,89.8125,-219.375,0.5317383,-1.105957,-0.1552734,-0.2700195,-0.06298828,-0.2270508
810,48.4375,90.75,-210.125,0.527832,-1.008789,-0.1552734,-0.2617188,-0.08544922,-0.2338867
814,44.625,98.0625,-211,0.4814453,-0.8764648,-0.1474609,-0.2509766,-0.1069336,-0.2436523
819,42.0625,106.375,-211.0625,0.3496094,-0.7792969,-0.1899414,-0.2436523,-0.1196289,-0.2490234
823,35.375,109.125,-203.875,0.1635742,-0.6591797,-0.2128906,-0.2304688,-0.140625,-0.2558594
827,27.4375,106.25,-186.1875,-0.02587891,-0.5698242,-0.1821289,-0.215332,-0.1582031,-0.2612305
831,22.1875,92.0625,-165.6875,-0.1650391,-0.453125,-0.1474609,-0.2055664,-0.1679688,-0.2651367
835,17.9375,71.25,-152.875,-0.2192383,-0.340332,-0.1362305,-0.1914063,-0.1782227,-0.2705078
839,9.5625,58.1875,-138,-0.2387695,-0.2548828,-0.05517578,-0.1791992,-0.1918945,-0.2719727
843,4.0625,53.125,-121.8125,-0.296875,-0.2392578,0.01367188,-0.1723633,-0.1967773,-0.2773438
847,4.6875,46.25,-104.5625,-0.3974609,-0.2163086,0.02099609,-0.1616211,-0.203125,-0.2802734
851,8.125,29.5,-89,-0.5214844,-0.1308594,0.03662109,-0.1533203,-0.2080078,-0.2802734
855,9.875,11.375,-69.9375,-0.5527344,-0.07226563,0.05566406,-0.1474609,-0.2119141,-0.2841797
859,13.4375,-3,-51.625,-0.5102539,-0.01806641,0.07128906,-0.1435547,-0.2158203,-0.2817383
863,13.375,-8,-38.875,-0.4594727,0.09423828,0.09814453,-0.1411133,-0.2207031,-0.2817383
867,9.3125,-8.4375,-25.625,-0.4594727,0.1333008,0.09814453,-0.1411133,-0.2207031,-0.2802734
871,4.3125,-10.8125,-11.6875,-0.4985352,0.1445313,0.09814453,-0.1411133,-0.2231445,-0.2802734
875,0.125,-14.9375,4.1875,-0.4868164,0.1020508,0.1132813,-0.1401367,-0.2231445,-0.2788086
879,2.25,-17.8125,19.6875,-0.4208984,0.05908203,0.1713867,-0.1425781,-0.2216797,-0.2773438
883,5.5,-21.5625,32.9375,-0.4287109,0.1176758,0.1557617,-0.1435547,-0.2207031,-0.2773438
887,1.8125,-32.375,48.5625,-0.4248047,0.1333008,0.1328125,-0.1494141,-0.2231445,-0.2758789
891,-5,-48.125,62.5,-0.3901367,0.09423828,0.09423828,-0.1518555,-0.2182617,-0.2719727
895,-10.6875,-63.8125,77.75,-0.3046875,0.008789063,0.1367188,-0.1616211,-0.2143555,-0.2719727
899,-11.3125,-72.625,92.9375,-0.1845703,-0.1230469,0.1787109,-0.1708984,-0.2094727,-0.2680664
903,-3.1875,-75.125,105.625,-0.05273438,-0.2392578,0.2211914,-0.1791992,-0.2045898,-0.2666016
