Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-12.1875,7.4375,-8.875,-0.7734375,-0.6552734,0.1479492,0.2568359,0.09375,-0.1591797
4,-4.75,0,-13.4375,-0.78125,-0.6513672,0.1479492,0.2583008,0.09521484,-0.1577148
8,-2.4375,-3.375,-16.1875,-0.7504883,-0.6591797,0.1557617,0.2568359,0.09619141,-0.1577148
12,3.0625,0.9375,-12.375,-0.7231445,-0.6396484,0.1289063,0.2558594,0.09619141,-0.1591797
16,-5.25,5.875,-6,-0.7426758,-0.581543,0.1328125,0.2558594,0.09765625,-0.1577148
20,-7.1875,3.9375,-5.125,-0.7617188,-0.6318359,0.1210938,0.2568359,0.09765625,-0.15625
24,-4.5625,1.25,-4.5,-0.7504883,-0.6552734,0.1289063,0.2543945,0.09765625,-0.1547852
28,-3.0625,1.875,-3.5,-0.7387695,-0.6162109,0.125,0.253418,0.09863281,-0.1547852
32,-3.4375,1.9375,-3.6875,-0.7426758,-0.6162109,0.1171875,0.2543945,0.1000977,-0.1547852
36,-1.5,0.9375,-5.0625,-0.7387695,-0.6318359,0.1098633,0.2543945,0.1000977,-0.1547852
40,-1.25,1.1875,-4.625,-0.7387695,-0.6357422,0.1171875,0.2568359,0.1000977,-0.1577148
45,-0.375,3,-1.8125,-0.7348633,-0.6357422,0.1210938,0.2558594,0.1010742,-0.1547852
49,-0.4375,4.5,-2.5625,-0.7426758,-0.6201172,0.1020508,0.2558594,0.1010742,-0.15625
53,-0.9375,3.75,-3.75,-0.7617188,-0.6279297,0.07910156,0.2558594,0.1025391,-0.1538086
57,-2,2.125,-3.8125,-0.7695313,-0.6318359,0.06738281,0.2558594,0.1025391,-0.1538086
61,-2.375,1.5625,-2.1875,-0.765625,-0.6630859,0.09423828,0.2543945,0.1025391,-0.1547852
65,-1.75,1.375,-1.1875,-0.7578125,-0.6474609,0.1171875,0.2558594,0.1025391,-0.15625
69,-2.0625,1.25,-0.8125,-0.765625,-0.6357422,0.1171875,0.2543945,0.1025391,-0.1538086
73,-2.25,1.125,0.75,-0.7734375,-0.6201172,0.1210938,0.2543945,0.1025391,-0.1538086
77,-1.875,1.1875,0.4375,-0.7929688,-0.6240234,0.1328125,0.2568359,0.1010742,-0.1538086
81,-0.25,1.5,2.5,-0.8007813,-0.6357422,0.1518555,0.2558594,0.1010742,-0.1523438
85,1.75,3.9375,5.5625,-0.8164063,-0.6435547,0.1826172,0.2543945,0.1025391,-0.1538086
89,6.1875,6,9.5,-0.8432617,-0.6748047,0.2060547,0.2558594,0.1010742,-0.1547852
