Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,2.1875,-3.3125,4.5,0.9853516,0.171875,0.02099609,-0.2998047,-0.140625,-0.1181641
4,3.25,-3.375,4.25,0.9970703,0.171875,0.009765625,-0.3017578,-0.140625,-0.1181641
8,2.75,-2.8125,5.0625,0.9970703,0.171875,0.02099609,-0.3007813,-0.1420898,-0.1166992
12,1.0625,-2.25,5.6875,1.000488,0.1835938,0.02099609,-0.3032227,-0.140625,-0.1166992
16,-0.875,-0.6875,5.125,0.9970703,0.1757813,0.01367188,-0.3007813,-0.1396484,-0.1166992
20,-2.3125,0.125,5.1875,1.000488,0.15625,0.02099609,-0.3007813,-0.1420898,-0.1166992
24,-2.4375,0.5625,5.375,0.9931641,0.1293945,0.009765625,-0.3017578,-0.1381836,-0.1157227
28,-1.3125,1.1875,5.8125,0.9931641,0.1137695,-0.001464844,-0.3032227,-0.1381836,-0.1166992
32,0.9375,1.3125,6.375,0.9853516,0.1020508,-0.005371094,-0.3017578,-0.1381836,-0.1181641
36,3,1.5625,7.625,0.9931641,0.09814453,-0.01660156,-0.3032227,-0.1381836,-0.1166992
40,3.375,2.25,8.8125,1.000488,0.1020508,-0.01660156,-0.3041992,-0.1367188,-0.1181641
44,2.8125,2.25,10.3125,0.9853516,0.09814453,-0.03613281,-0.3041992,-0.1357422,-0.1181641
48,2.1875,2.375,13.75,0.9931641,0.09033203,-0.02832031,-0.3017578,-0.1357422,-0.1181641
52,1.8125,1.4375,14.125,0.9853516,0.09814453,-0.05517578,-0.3041992,-0.1333008,-0.1196289
57,0.8125,1.4375,14.375,0.9892578,0.1176758,-0.05126953,-0.3066406,-0.1318359,-0.1181641
61,-1.0625,1.6875,14.875,0.9853516,0.1176758,-0.05908203,-0.3056641,-0.1279297,-0.1196289
