Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,2.25,-2.75,-2.4375,-0.9208984,-0.2900391,-0.05126953,0.2856445,0.05859375,-0.1142578
4,2.8125,-2.375,-2.5625,-0.9208984,-0.2861328,-0.07470703,0.2856445,0.05761719,-0.112793
8,2.375,-1.5625,-2.6875,-0.9326172,-0.2783203,-0.06298828,0.2866211,0.05761719,-0.112793
12,1.875,-0.875,-2.375,-0.9365234,-0.2861328,-0.06298828,0.2841797,0.05761719,-0.1142578
16,1.6875,-0.6875,-0.9375,-0.9399414,-0.2783203,-0.04736328,0.2841797,0.05615234,-0.1157227
20,1.8125,-0.1875,0.625,-0.9365234,-0.2822266,-0.06689453,0.2856445,0.05859375,-0.112793
24,2,0.125,1.375,-0.9169922,-0.2939453,-0.06298828,0.2856445,0.05761719,-0.1157227
28,2.6875,0.9375,1.0625,-0.9208984,-0.3017578,-0.05517578,0.2841797,0.05517578,-0.1157227
32,2.8125,1.4375,1.1875,-0.9248047,-0.2939453,-0.06298828,0.2856445,0.05615234,-0.1142578
36,2.5625,1.875,0.75,-0.9326172,-0.2861328,-0.05517578,0.2856445,0.05517578,-0.1157227
40,2.125,2.25,0.25,-0.9287109,-0.2861328,-0.05517578,0.2866211,0.05615234,-0.1157227
44,2,2.1875,0.375,-0.9399414,-0.2900391,-0.04394531,0.2856445,0.05615234,-0.1142578
48,1.8125,2.25,1,-0.9399414,-0.2900391,-0.05517578,0.2866211,0.05615234,-0.1157227
52,0.875,1.75,1.3125,-0.9438477,-0.2822266,-0.05517578,0.2866211,0.05615234,-0.112793
56,0.5625,0.5,1.5,-0.9399414,-0.2861328,-0.04736328,0.2866211,0.05517578,-0.1142578
60,0.625,0.0625,1.1875,-0.9287109,-0.3017578,-0.05908203,0.2866211,0.05615234,-0.1157227
64,-0.3125,-0.3125,-0.25,-0.9399414,-0.2978516,-0.05517578,0.2880859,0.05615234,-0.1142578
68,-2.0625,-0.5625,-0.6875,-0.9399414,-0.3017578,-0.05517578,0.2866211,0.05761719,-0.1142578
72,-3,-2.1875,-2.125,-0.9438477,-0.3134766,-0.05517578,0.2856445,0.05615234,-0.1142578
76,-3.9375,-2.25,-3.375,-0.9248047,-0.3134766,-0.06298828,0.2856445,0.05761719,-0.1157227
81,-4.4375,-1.4375,-3.625,-0.9326172,-0.3208008,-0.07470703,0.2866211,0.05761719,-0.1157227
85,-3.5,-1.6875,-4.25,-0.9326172,-0.3520508,-0.07470703,0.2856445,0.05615234,-0.1142578
89,0.0625,-3.1875,-6.5625,-0.9399414,-0.3950195,-0.05908203,0.2856445,0.05859375,-0.1142578
93,4.625,-4.3125,-9.875,-0.9248047,-0.4375,-0.06298828,0.2841797,0.05859375,-0.1142578
97,10.5625,-4.0625,-13.6875,-0.9326172,-0.4609375,-0.06689453,0.2856445,0.05859375,-0.1157227
101,16.75,-1.0625,-13.625,-0.9365234,-0.4609375,-0.07470703,0.2856445,0.0625,-0.112793
105,20.3125,0.5,-12.625,-0.9399414,-0.4804688,-0.09765625,0.2832031,0.0625,-0.1181641
109,21.125,1,-15.625,-0.8974609,-0.484375,-0.1245117,0.2856445,0.06396484,-0.1181641
113,20.25,2.0625,-19.5,-0.8818359,-0.5151367,-0.1323242,0.2856445,0.06640625,-0.1181641
117,22.9375,2.5,-25.1875,-0.8706055,-0.550293,-0.109375,0.2832031,0.06884766,-0.1210938
121,27.375,4.3125,-28.75,-0.8706055,-0.5737305,-0.1166992,0.2832031,0.06884766,-0.1225586
125,29.8125,5.0625,-31.3125,-0.8666992,-0.5737305,-0.1323242,0.2817383,0.07128906,-0.125
129,27,8.5625,-34.0625,-0.8510742,-0.5581055,-0.1591797,0.2807617,0.07373047,-0.125
133,20.8125,10.5,-39.125,-0.8706055,-0.5854492,-0.1591797,0.2792969,0.07519531,-0.1264648
137,13.125,8.5,-46.8125,-0.8549805,-0.6357422,-0.1630859,0.2773438,0.07763672,-0.1279297
141,7.4375,10.4375,-54.3125,-0.862793,-0.7172852,-0.1591797,0.2749023,0.08251953,-0.1279297
145,-0.125,14,-59.4375,-0.9013672,-0.7563477,-0.1401367,0.2734375,0.08642578,-0.1264648
149,-10.375,9.0625,-64.6875,-0.9326172,-0.8261719,-0.1474609,0.2709961,0.09130859,-0.125
153,-17,5.0625,-67.25,-0.9013672,-0.9775391,-0.1323242,0.269043,0.09765625,-0.1279297
157,-13.4375,8.75,-74.9375,-0.8393555,-0.9658203,-0.05517578,0.2641602,0.1035156,-0.125
161,-4.125,11.8125,-74.9375,-0.7851563,-1.34668,-0.112793,0.2626953,0.1064453,-0.1235352
165,18.75,19.6875,-89,-0.7734375,-1.556641,-0.112793,0.2592773,0.1162109,-0.125
169,42.875,27.4375,-106.0625,-0.8237305,-1.533203,-0.1435547,0.2558594,0.1201172,-0.1225586
173,52.0625,29.75,-122.1875,-0.9248047,-1.432129,-0.2285156,0.2519531,0.1289063,-0.1225586
177,48,26.875,-135.3125,-0.9829102,-1.416504,-0.2324219,0.2460938,0.1376953,-0.1235352
