Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
2,2.3125,1.8125,-1.3125,0.7680664,0.6420898,-0.1977539,-0.2021484,-0.3041992,-0.06396484
6,2.1875,2.75,-2.0625,0.7568359,0.6459961,-0.2016602,-0.203125,-0.3032227,-0.06396484
10,2,2.375,-1.4375,0.7412109,0.6342773,-0.2207031,-0.2021484,-0.3017578,-0.0625
14,1.875,1.5,-1.1875,0.7333984,0.6303711,-0.2246094,-0.2006836,-0.3032227,-0.06103516
18,1.875,0.25,-0.875,0.7412109,0.6381836,-0.2167969,-0.2006836,-0.3032227,-0.0625
22,1.1875,-0.125,-0.4375,0.7568359,0.6459961,-0.2055664,-0.203125,-0.3041992,-0.06396484
26,0.4375,0.0625,-0.125,0.7641602,0.6459961,-0.2055664,-0.2006836,-0.3041992,-0.06396484
31,-0.1875,-0.375,-0.3125,0.7529297,0.6420898,-0.2055664,-0.2021484,-0.3032227,-0.0625
35,-0.75,-1.4375,-0.25,0.7641602,0.6420898,-0.2207031,-0.203125,-0.3041992,-0.0625
39,-1,-1.3125,0.25,0.7797852,0.6381836,-0.2089844,-0.2006836,-0.3056641,-0.0625
43,-1.1875,-0.3125,0.375,0.7797852,0.6225586,-0.1977539,-0.2021484,-0.3041992,-0.0625
47,-0.875,0.125,0.5,0.7797852,0.6381836,-0.2089844,-0.2021484,-0.3032227,-0.06396484
51,-1.5,0.625,0.875,0.7490234,0.6420898,-0.2207031,-0.2021484,-0.3032227,-0.06396484
55,-1.8125,-0.875,0.5625,0.7412109,0.6459961,-0.2246094,-0.2045898,-0.3032227,-0.0625
59,-1.9375,-1.5625,0.6875,0.7568359,0.6499023,-0.2128906,-0.2006836,-0.3041992,-0.0625
63,-2,-1.1875,0.8125,0.7680664,0.6420898,-0.2128906,-0.2021484,-0.3032227,-0.06396484
