Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,13.125,6,3.75,-0.9438477,-0.3017578,-0.2167969,0.2832031,0.04394531,0.1220703
4,14.5,7.0625,3,-0.9594727,-0.2783203,-0.2167969,0.2841797,0.04394531,0.1220703
8,13.125,6.0625,1.3125,-1.005859,-0.2822266,-0.2324219,0.2832031,0.04394531,0.1220703
12,10,1.25,1.5625,-1.021484,-0.2744141,-0.2363281,0.2832031,0.04638672,0.1220703
16,4.6875,-4.375,1.5,-1.001953,-0.2666016,-0.2207031,0.2817383,0.04638672,0.1206055
20,0.5,-6.6875,0.1875,-0.9633789,-0.2626953,-0.1977539,0.2841797,0.04394531,0.1235352
24,-1.625,-6.625,-2.375,-0.9399414,-0.2861328,-0.1821289,0.2832031,0.04394531,0.1206055
28,-2.3125,-4.9375,-4,-0.9130859,-0.3134766,-0.1669922,0.2817383,0.04492188,0.1220703
32,-0.25,-1.8125,-5.375,-0.9091797,-0.3442383,-0.1743164,0.2832031,0.04492188,0.1191406
36,1.5,0.3125,-5.6875,-0.9130859,-0.3325195,-0.1708984,0.2832031,0.04638672,0.1191406
40,0.4375,1,-4.375,-0.9287109,-0.3173828,-0.1669922,0.2832031,0.04638672,0.1206055
44,-0.8125,1.6875,-4.375,-0.9287109,-0.3134766,-0.1630859,0.2832031,0.04638672,0.1191406
48,-1.5625,3.5625,-3.875,-0.9365234,-0.3056641,-0.1591797,0.2832031,0.04638672,0.1206055
52,-0.625,7.0625,-4.9375,-0.9438477,-0.3017578,-0.1669922,0.2841797,0.04638672,0.1191406
56,1.1875,12.5,-7.25,-0.9868164,-0.3056641,-0.1669922,0.2817383,0.04736328,0.1220703
60,4.125,19.1875,-10.6875,-1.044922,-0.3208008,-0.1899414,0.2832031,0.04638672,0.1220703
64,6.3125,24.4375,-13.5,-1.11084,-0.3286133,-0.2167969,0.2792969,0.04882813,0.125
68,7.5,26.625,-17.625,-1.230957,-0.3598633,-0.2514648,0.2792969,0.05273438,0.1259766
72,10,27.75,-23.625,-1.335449,-0.3676758,-0.2822266,0.2773438,0.05371094,0.1303711
76,11.0625,21.8125,-29.375,-1.424316,-0.3676758,-0.3208008,0.2749023,0.05615234,0.1303711
80,6.1875,14.6875,-35.625,-1.45166,-0.3520508,-0.359375,0.2749023,0.06005859,0.1303711
84,2.125,7.3125,-45.0625,-1.432129,-0.3950195,-0.3632813,0.2700195,0.06103516,0.1328125
88,1.8125,3.1875,-49.9375,-1.366211,-0.4414063,-0.3554688,0.2709961,0.06640625,0.1313477
92,1.25,0.9375,-51.5,-1.312012,-0.484375,-0.3515625,0.2675781,0.07128906,0.1328125
96,-1.8125,0.1875,-55.375,-1.261719,-0.503418,-0.3706055,0.2675781,0.07373047,0.1328125
100,-3.3125,1.5,-61.5,-1.195801,-0.5385742,-0.3745117,0.2626953,0.07861328,0.1328125
104,-3.1875,3.1875,-63.5,-1.145508,-0.6162109,-0.3706055,0.2617188,0.08398438,0.1342773
108,0.9375,0.1875,-60.375,-1.087402,-0.6474609,-0.3476563,0.2592773,0.08642578,0.1328125
112,3.5625,0.375,-57.875,-1.001953,-0.6044922,-0.3208008,0.2583008,0.09375,0.1357422
116,2.875,5.625,-60.5,-0.9052734,-0.5463867,-0.3051758,0.253418,0.09619141,0.1342773
120,1.6875,10.6875,-65.1875,-0.9326172,-0.5698242,-0.3208008,0.2519531,0.1000977,0.1342773
125,0.0625,8.5625,-64.375,-0.8974609,-0.5620117,-0.3666992,0.25,0.1049805,0.1357422
129,-0.75,6.8125,-58.75,-0.8745117,-0.6513672,-0.3974609,0.2475586,0.1113281,0.137207
133,5.5,0.5,-50.0625,-0.8510742,-0.6748047,-0.4091797,0.2451172,0.1152344,0.137207
137,12,-7.625,-42.125,-0.7929688,-0.6201172,-0.3706055,0.2392578,0.1201172,0.137207
141,13.125,-11.875,-41.4375,-0.7504883,-0.5893555,-0.3901367,0.2412109,0.1210938,0.1357422
145,18.9375,-18.4375,-42.4375,-0.7231445,-0.6513672,-0.4169922,0.2392578,0.1264648,0.1328125
149,30.5625,-31.875,-37.625,-0.7617188,-0.7055664,-0.4091797,0.2368164,0.1298828,0.1328125
153,44,-52.6875,-23.25,-0.6767578,-0.6899414,-0.3208008,0.2392578,0.1337891,0.1274414
157,50.25,-66.6875,-9.125,-0.6069336,-0.5268555,-0.1938477,0.2368164,0.1386719,0.1206055
161,47.3125,-75.8125,-1.8125,-0.4868164,-0.421875,-0.1054688,0.2412109,0.1386719,0.1137695
165,53.5,-65.625,-1.5625,-0.3588867,-0.4570313,-0.005371094,0.2426758,0.1401367,0.105957
169,69.875,-44.1875,-5.125,-0.3242188,-0.5,-0.009277344,0.2475586,0.1435547,0.09912109
173,84.875,-32.8125,0.0625,-0.4482422,-0.46875,-0.04394531,0.2460938,0.1459961,0.09082031
177,89.625,-40.6875,10,-0.4907227,-0.2939453,0.01367188,0.2475586,0.1459961,0.08251953
181,71.625,-48,12.625,-0.4404297,-0.04882813,0.105957,0.2509766,0.1513672,0.07861328
185,45.5,-51.25,6.3125,-0.3549805,0.008789063,0.1865234,0.2519531,0.1513672,0.06884766
189,31.4375,-36.75,-11.5,-0.215332,-0.06835938,0.2749023,0.253418,0.1523438,0.06201172
193,18.125,-11.8125,-23.6875,-0.246582,-0.1616211,0.1865234,0.253418,0.1523438,0.06103516
197,-0.0625,-6.25,-23.6875,-0.3935547,-0.3676758,0.04443359,0.2519531,0.15625,0.05810547
201,-9.9375,-7.25,-13.9375,-0.4555664,-0.5854492,-0.128418,0.2519531,0.15625,0.06103516
205,-4.5625,-12.8125,-0.375,-0.4907227,-0.6860352,-0.2128906,0.253418,0.1586914,0.05957031
209,1.3125,-12.875,8.0625,-0.4829102,-0.6474609,-0.2514648,0.2509766,0.1586914,0.05810547
213,8.1875,-6.875,11.125,-0.4829102,-0.5966797,-0.2016602,0.2509766,0.1577148,0.05664063
217,12.875,-1.25,8.875,-0.5527344,-0.5229492,-0.1401367,0.253418,0.1577148,0.05517578
221,11.6875,0.8125,9.1875,-0.5913086,-0.4609375,-0.04736328,0.253418,0.15625,0.05664063
225,2.875,5.625,11.1875,-0.5874023,-0.421875,-0.01660156,0.2543945,0.15625,0.05419922
229,-1.875,14.625,14.3125,-0.6806641,-0.5112305,-0.09765625,0.253418,0.1538086,0.05419922
233,3.75,14.0625,13,-0.8125,-0.534668,-0.1474609,0.2543945,0.1538086,0.05664063
237,1.9375,3.3125,12.0625,-0.8857422,-0.4648438,-0.1362305,0.2558594,0.1513672,0.05810547
241,-9.1875,-10.9375,12.75,-0.8549805,-0.4296875,-0.09765625,0.2558594,0.1523438,0.05664063
245,-18.4375,-22.25,14.3125,-0.796875,-0.4492188,-0.06298828,0.2568359,0.1523438,0.05517578
249,-24.6875,-29.1875,16.3125,-0.7075195,-0.4765625,-0.04394531,0.2602539,0.1459961,0.05517578
254,-27.9375,-27.125,19.9375,-0.6376953,-0.5737305,-0.07080078,0.2602539,0.1474609,0.05664063
258,-17.625,-25.1875,25.0625,-0.6108398,-0.6630859,-0.0859375,0.2617188,0.1435547,0.05419922
262,-5.875,-28.0625,33.375,-0.5795898,-0.6279297,-0.05517578,0.2666016,0.1425781,0.05273438
266,-1.8125,-28.875,41.0625,-0.4555664,-0.4765625,0.01708984,0.2651367,0.1386719,0.05126953
270,-7.875,-17.125,45.625,-0.28125,-0.2861328,0.105957,0.2700195,0.1347656,0.04980469
274,-22.4375,4,47.0625,-0.2504883,-0.1850586,0.07910156,0.2724609,0.1323242,0.04882813
278,-32,17.25,43.875,-0.3706055,-0.2163086,0.001953125,0.2709961,0.1274414,0.05126953
282,-34.1875,19.8125,37.8125,-0.4711914,-0.3095703,-0.06689453,0.2758789,0.1225586,0.05419922
286,-30.5,12.5625,35.625,-0.5488281,-0.3833008,-0.112793,0.2773438,0.1186523,0.05664063
290,-24.75,4.125,44.0625,-0.5024414,-0.4453125,-0.09375,0.2783203,0.1162109,0.05810547
294,-20.375,6.5625,56.8125,-0.4633789,-0.402832,-0.03613281,0.2792969,0.1123047,0.06103516
298,-21.0625,21.3125,57.5,-0.4013672,-0.3095703,0.04052734,0.2817383,0.1064453,0.06103516
302,-18.25,51.9375,52.0625,-0.4482422,-0.3442383,0.005859375,0.2841797,0.1025391,0.06494141
306,-3.5625,67.4375,41.3125,-0.7114258,-0.3676758,-0.0859375,0.2817383,0.09521484,0.0703125
310,9.125,61.75,22.4375,-0.9091797,-0.3208008,-0.1054688,0.2832031,0.09228516,0.07568359
314,11,54.4375,10,-0.8666992,-0.2900391,-0.06689453,0.2841797,0.09228516,0.08105469
318,10.125,52.0625,9.1875,-0.878418,-0.2978516,-0.08203125,0.2817383,0.09228516,0.08398438
322,6.0625,47.0625,8.0625,-0.9946289,-0.2314453,-0.1245117,0.2783203,0.09130859,0.09082031
326,-9.125,30.9375,6.375,-1.141602,-0.2084961,-0.1245117,0.2792969,0.09228516,0.09228516
330,-26.625,11.125,3.1875,-1.133789,-0.2861328,-0.1782227,0.2792969,0.09130859,0.09326172
334,-36.625,-6.25,5.5625,-1.099121,-0.4067383,-0.1938477,0.2792969,0.08886719,0.09472656
338,-39.8125,-15.6875,9.1875,-1.041016,-0.4921875,-0.2397461,0.2783203,0.08642578,0.09472656
342,-34.5625,-23.0625,14.3125,-1.052734,-0.5776367,-0.2016602,0.2807617,0.08642578,0.09765625
346,-25.125,-29.875,21.4375,-0.9750977,-0.5581055,-0.1591797,0.2807617,0.08251953,0.09326172
350,-18.25,-29.4375,24,-0.9052734,-0.453125,-0.08984375,0.2832031,0.07861328,0.09326172
354,-14.3125,-24.9375,21.9375,-0.8706055,-0.4296875,-0.04394531,0.2832031,0.07617188,0.09228516
358,-9.5625,-17.1875,19.1875,-0.8125,-0.3950195,0.04443359,0.2856445,0.07373047,0.08935547
362,-8.6875,-4.375,13.8125,-0.8198242,-0.402832,0.06738281,0.2866211,0.07275391,0.08789063
366,-5.375,7.75,15.125,-0.8549805,-0.5151367,0.04443359,0.2866211,0.07275391,0.08789063
370,3.375,16.5,19.1875,-0.9052734,-0.503418,0.001953125,0.2866211,0.06982422,0.09228516
374,13.0625,19,20.75,-0.9750977,-0.4726563,-0.05908203,0.2880859,0.06982422,0.09228516
378,25.875,20,20.4375,-1.005859,-0.3950195,-0.1054688,0.2880859,0.06640625,0.09082031
383,29.6875,18.0625,7.75,-1.067871,-0.2202148,-0.1435547,0.2866211,0.06884766,0.09228516
387,14.0625,9.8125,-9.3125,-1.071777,-0.1381836,-0.1206055,0.2866211,0.06738281,0.09228516
391,-12.625,-3,-8.8125,-1.060547,-0.2626953,-0.1166992,0.2866211,0.06982422,0.09472656
395,-31.25,-14.1875,7.375,-1.07959,-0.46875,-0.1435547,0.2866211,0.06738281,0.09326172
399,-27.375,-20.875,22.375,-1.087402,-0.6435547,-0.1323242,0.2880859,0.06640625,0.09326172
403,-4.1875,-17.375,24.5625,-1.11084,-0.6748047,-0.112793,0.2890625,0.06396484,0.09326172
407,14.75,-4.6875,7.5625,-1.087402,-0.5463867,-0.07080078,0.2890625,0.0625,0.09082031
411,18.875,13,-2.625,-1.118652,-0.4570313,-0.06298828,0.2915039,0.06103516,0.09082031
415,11.75,22.0625,-2.125,-1.296875,-0.4570313,-0.1323242,0.2866211,0.0625,0.09228516
419,3.875,15.625,2.0625,-1.463379,-0.4492188,-0.2246094,0.2880859,0.0625,0.09472656
423,-10,-7.75,6.75,-1.571777,-0.3793945,-0.3012695,0.2880859,0.06396484,0.09326172
427,-24.25,-31.4375,7.375,-1.486328,-0.4257813,-0.2783203,0.2880859,0.06103516,0.09228516
431,-31.875,-38.4375,6.1875,-1.35498,-0.4882813,-0.2089844,0.2890625,0.06103516,0.09082031
435,-32.25,-32.125,5.3125,-1.257813,-0.5385742,-0.1054688,0.2924805,0.05859375,0.08789063
439,-31.5,-21.1875,3.4375,-1.253906,-0.5112305,-0.07470703,0.2924805,0.05761719,0.08789063
443,-29.9375,-11.9375,0.5625,-1.242188,-0.4804688,-0.04003906,0.2949219,0.05615234,0.08789063
447,-29.625,-1.375,-1.375,-1.273438,-0.4960938,-0.04394531,0.2949219,0.05517578,0.08691406
