Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,3.375,7.125,0.125,0.4350586,0.9140625,0.105957,-0.1103516,-0.3193359,-0.1699219
5,0.3125,5.1875,0.1875,0.4233398,0.9179688,0.09814453,-0.1079102,-0.3178711,-0.1699219
9,-1.0625,3.6875,0,0.4272461,0.9023438,0.105957,-0.109375,-0.3208008,-0.1713867
13,-1.25,4.3125,-0.3125,0.4467773,0.9023438,0.09423828,-0.109375,-0.3208008,-0.168457
17,-1.75,5.25,-0.625,0.4350586,0.90625,0.09033203,-0.1103516,-0.3193359,-0.1713867
21,-2.25,4.5625,-0.6875,0.4311523,0.8867188,0.07910156,-0.109375,-0.3208008,-0.1699219
25,-1.625,4.4375,-1.0625,0.4350586,0.8789063,0.07519531,-0.1079102,-0.3193359,-0.168457
29,-0.9375,3.9375,-1.0625,0.4311523,0.8828125,0.07128906,-0.1103516,-0.3208008,-0.1728516
33,-1.4375,1.1875,0,0.4155273,0.8828125,0.07128906,-0.1079102,-0.3208008,-0.1699219
37,-1.4375,-1.75,0.8125,0.4233398,0.8867188,0.07128906,-0.109375,-0.3208008,-0.1713867
41,-0.75,-1.9375,0.4375,0.4506836,0.8867188,0.07910156,-0.1103516,-0.3178711,-0.1713867
45,-0.875,-0.0625,-0.8125,0.4580078,0.8789063,0.06738281,-0.1113281,-0.3217773,-0.1713867
49,0,1.375,-1.0625,0.4580078,0.8710938,0.06738281,-0.109375,-0.3178711,-0.1728516
53,0.625,1.5625,-0.1875,0.4541016,0.8710938,0.07519531,-0.1079102,-0.3178711,-0.1728516
58,1.1875,1.5625,1.375,0.4580078,0.8789063,0.06738281,-0.109375,-0.3208008,-0.1713867
62,0.75,1.25,2,0.4467773,0.8984375,0.06347656,-0.1079102,-0.3193359,-0.1728516
66,-0.8125,1.4375,1.25,0.4428711,0.9101563,0.06347656,-0.1079102,-0.3208008,-0.1699219
70,-0.875,1.8125,0.375,0.4428711,0.8789063,0.06738281,-0.1079102,-0.3193359,-0.1728516
74,0.125,1,0.1875,0.4389648,0.8710938,0.05957031,-0.1079102,-0.3193359,-0.1699219
78,0.625,-1.0625,1.0625,0.4194336,0.875,0.05566406,-0.1079102,-0.3178711,-0.1728516
82,0.9375,-2.6875,1.375,0.4350586,0.875,0.05566406,-0.1079102,-0.3178711,-0.1699219
86,1.375,-4.125,2.4375,0.4389648,0.8710938,0.05957031,-0.1079102,-0.3178711,-0.1728516
90,1.75,-6.3125,4.25,0.4272461,0.8710938,0.06738281,-0.1103516,-0.3208008,-0.168457
94,1.375,-8.75,4.3125,0.4233398,0.8867188,0.07910156,-0.1103516,-0.3208008,-0.1738281
98,1.0625,-11.0625,3.4375,0.4272461,0.8710938,0.07519531,-0.1103516,-0.3193359,-0.168457
102,2.5,-10.0625,2.625,0.4658203,0.8632813,0.07910156,-0.1113281,-0.3193359,-0.1699219
106,3.6875,-6.25,1.5625,0.4853516,0.8671875,0.07519531,-0.1113281,-0.3193359,-0.1713867
110,3.9375,-3.1875,2.4375,0.4697266,0.8710938,0.07910156,-0.1137695,-0.3193359,-0.168457
114,3.25,-8,5.375,0.4155273,0.8710938,0.07519531,-0.1137695,-0.3193359,-0.168457
118,0.8125,-21.625,11.375,0.3691406,0.8867188,0.08251953,-0.112793,-0.3208008,-0.168457
122,-2.1875,-31.625,13.625,0.4272461,0.9179688,0.1132813,-0.1162109,-0.3178711,-0.168457
126,-9.6875,-36.3125,12.625,0.4775391,0.9760742,0.1518555,-0.1176758,-0.3168945,-0.1674805
130,-22.25,-43.8125,15.25,0.5087891,1.04248,0.2172852,-0.1201172,-0.3168945,-0.1660156
134,-42.0625,-63,25.375,0.5161133,1.053711,0.2597656,-0.1235352,-0.3129883,-0.1674805
138,-58.5625,-89.3125,44.5625,0.6289063,1.022949,0.3251953,-0.1269531,-0.3129883,-0.1660156
142,-71.9375,-113.9375,74.6875,0.8652344,0.9799805,0.4633789,-0.1391602,-0.3066406,-0.1674805
146,-85.625,-128.625,108.25,1.085938,1.026855,0.5522461,-0.1484375,-0.2983398,-0.168457
150,-108.1875,-135.9375,132.3125,1.271973,1.073242,0.5981445,-0.1582031,-0.2905273,-0.1699219
154,-128.5,-126.375,151,1.508301,1.088867,0.6020508,-0.1757813,-0.2792969,-0.168457
158,-146.4375,-94.6875,168.125,1.802734,0.972168,0.5981445,-0.1899414,-0.2617188,-0.1699219
162,-149.3125,-57.4375,194.0625,1.884277,0.8208008,0.5136719,-0.2021484,-0.2495117,-0.1713867
166,-140.125,-31.8125,223.4375,1.814453,0.7817383,0.4482422,-0.215332,-0.2304688,-0.1782227
170,-134.375,-13.8125,244.0625,1.768066,0.8598633,0.4404297,-0.2270508,-0.2070313,-0.1821289
174,-134.5,3.25,248.3125,1.806641,0.8828125,0.4443359,-0.2363281,-0.1904297,-0.1865234
178,-133.625,33.0625,252.125,1.918945,0.9101563,0.4521484,-0.2436523,-0.1645508,-0.1928711
182,-136.375,66.625,259,1.830078,0.8789063,0.3710938,-0.2495117,-0.1396484,-0.1987305
187,-134,78.6875,269.75,1.736816,0.9296875,0.3828125,-0.2519531,-0.1196289,-0.2055664
191,-135.875,73.0625,285.1875,1.655762,0.9492188,0.340332,-0.2519531,-0.08935547,-0.2133789
195,-130.6875,58.8125,311.875,1.713867,0.8051758,0.3212891,-0.2509766,-0.05712891,-0.2177734
199,-121.9375,77.9375,320.125,1.907715,0.956543,0.3481445,-0.2470703,-0.03808594,-0.2202148
203,-125.75,126.75,319.6875,1.826172,0.9453125,0.2597656,-0.2412109,-0.004394531,-0.2255859
207,-114.75,144.25,318.4375,1.403809,0.7392578,0.1518555,-0.2280273,0.02636719,-0.2338867
211,-97.8125,125.75,326.8125,1.256348,0.8208008,0.2021484,-0.2163086,0.04492188,-0.237793
215,-107.3125,112.625,338.0625,1.287598,0.9375,0.1943359,-0.199707,0.07275391,-0.2421875
219,-114.0625,105.75,360.5,1.198242,0.8129883,0.1557617,-0.1816406,0.1000977,-0.2446289
223,-107.1875,108.6875,359.875,1.171387,0.7119141,0.125,-0.1650391,0.1186523,-0.2460938
227,-102.125,122.9375,337.9375,1.008301,0.7080078,0.08251953,-0.1401367,0.1411133,-0.2446289
231,-92,127.375,332.25,0.9389648,0.5488281,0.005859375,-0.112793,0.1611328,-0.2446289
235,-88.375,116.6875,329.25,0.8032227,0.5683594,0.04052734,-0.09472656,0.1738281,-0.2436523
239,-87.625,104.875,347.9375,0.6948242,0.5449219,-0.02050781,-0.06640625,0.1860352,-0.2421875
243,-84.75,97.125,348.5,0.675293,0.4750977,-0.02050781,-0.03417969,0.1962891,-0.2368164
247,-83.875,107.0625,338.75,0.5239258,0.4633789,-0.05908203,-0.01513672,0.2026367,-0.2338867
251,-78.9375,111.0625,319.75,0.2724609,0.3818359,-0.0859375,0.01904297,0.2084961,-0.2299805
255,-77.9375,110.5625,312,-0.06054688,0.3701172,-0.1474609,0.05078125,0.2099609,-0.2231445
259,-78.0625,85.5625,302.1875,-0.4946289,0.3505859,-0.1552734,0.06884766,0.2060547,-0.2177734
263,-78.9375,58.4375,285.8125,-0.7426758,0.3081055,-0.1821289,0.09765625,0.2036133,-0.2094727
267,-75.125,43.875,256.0625,-1.060547,0.2807617,-0.1630859,0.1210938,0.2001953,-0.2041016
271,-71.3125,35.5625,208.625,-1.335449,0.237793,-0.1669922,0.1342773,0.1938477,-0.1987305
275,-54.6875,28.9375,161.1875,-1.70752,0.06689453,-0.2246094,0.1499023,0.1884766,-0.1928711
279,-29.0625,32.4375,91.875,-1.804199,-0.01416016,-0.2553711,0.1591797,0.1850586,-0.1889648
283,-5.375,38.1875,21.75,-1.943848,0.004882813,-0.2475586,0.1650391,0.1835938,-0.1875
287,1.75,15.125,-44.875,-2.029297,0.06689453,-0.1782227,0.1689453,0.1835938,-0.1850586
291,-0.6875,-17.875,-108.1875,-1.715332,0.05126953,-0.05908203,0.1640625,0.1850586,-0.1821289
295,-8.1875,-43.4375,-158.6875,-1.285156,-0.05664063,-0.02050781,0.1567383,0.1914063,-0.1875
299,-3.8125,-50.3125,-186.1875,-0.7890625,-0.2509766,-0.009277344,0.1416016,0.2011719,-0.1875
303,11.3125,-40.5,-193.3125,-0.4482422,-0.4375,-0.07080078,0.1235352,0.2084961,-0.1875
307,45.875,-22.875,-194.5,-0.2583008,-0.4492188,-0.02832031,0.1142578,0.2124023,-0.1889648
311,57.375,2.4375,-220.4375,-0.1611328,-0.2163086,0.07128906,0.09765625,0.2163086,-0.1943359
316,48.375,6.875,-253.125,-0.2734375,-0.05664063,0.1635742,0.07714844,0.2226563,-0.1972656
