Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,5.125,0.0625,-1.0625,0.3305664,0.921875,-0.01660156,-0.04003906,-0.3618164,-0.1264648
4,5.6875,-0.1875,-1.9375,0.3305664,0.9257813,-0.02441406,-0.0390625,-0.3632813,-0.125
8,6.25,-0.6875,-2.5625,0.3378906,0.9335938,-0.02441406,-0.0390625,-0.3642578,-0.125
12,6.875,-0.9375,-2.8125,0.3496094,0.9375,-0.01318359,-0.04003906,-0.3632813,-0.125
16,7.25,-0.5,-2.5,0.3574219,0.9414063,-0.009277344,-0.0390625,-0.3642578,-0.125
20,7.0625,0.0625,-2.4375,0.3574219,0.956543,0.001953125,-0.03759766,-0.3632813,-0.125
24,7.125,0.75,-2.375,0.3652344,0.956543,0.005859375,-0.03759766,-0.3642578,-0.1235352
28,5.9375,0.9375,-1.8125,0.3652344,0.9604492,0.01708984,-0.03662109,-0.3632813,-0.1210938
32,4.375,0.5,-1,0.3613281,0.9760742,0.01708984,-0.0390625,-0.3632813,-0.1225586
36,2.5625,-0.75,0.0625,0.3535156,0.9682617,0.02099609,-0.03759766,-0.3657227,-0.1210938
40,1.4375,-2,0.5,0.3535156,0.9643555,0.02490234,-0.03759766,-0.3666992,-0.1196289
44,0.6875,-2.1875,0.75,0.3613281,0.9492188,0.01708984,-0.0390625,-0.3632813,-0.1210938
48,0.6875,-0.875,1.0625,0.3769531,0.9375,0.01708984,-0.0390625,-0.3618164,-0.1210938
52,0.9375,1.1875,0.8125,0.3769531,0.9492188,0.01367188,-0.0390625,-0.3657227,-0.1210938
56,0.25,2.3125,0.1875,0.3613281,0.9453125,0.01708984,-0.0390625,-0.3657227,-0.1210938
60,0,2.125,0.125,0.3535156,0.9414063,0.001953125,-0.03759766,-0.3642578,-0.1181641
64,-0.9375,0.5625,1.0625,0.3457031,0.9492188,0.009765625,-0.0390625,-0.3657227,-0.1210938
68,-2.8125,-2.25,2.1875,0.3305664,0.953125,0.005859375,-0.03759766,-0.3642578,-0.1196289
72,-4.625,-7.0625,3.4375,0.3188477,0.956543,0.001953125,-0.0390625,-0.3657227,-0.1210938
76,-7.25,-12.1875,5.875,0.3266602,0.9643555,0.009765625,-0.04003906,-0.3642578,-0.1225586
80,-9.375,-16.4375,8.125,0.3535156,0.956543,0.02490234,-0.0390625,-0.3642578,-0.1225586
85,-13.1875,-22.5,12.75,0.3266602,0.9760742,0.009765625,-0.04003906,-0.3632813,-0.1235352
89,-16.4375,-32.0625,18.5625,0.3110352,0.972168,0.02099609,-0.04394531,-0.3657227,-0.1235352
93,-24.75,-45.8125,27.875,0.2412109,1.015137,0.02490234,-0.04492188,-0.3603516,-0.1235352
97,-37.25,-76.75,44.875,0.1132813,1.015137,0.001953125,-0.05224609,-0.3603516,-0.1235352
101,-45.5625,-119.375,62.4375,0.09375,1.022949,0.01708984,-0.05810547,-0.359375,-0.1279297
105,-66.5625,-163.25,78.4375,0.05517578,1.120117,0.01367188,-0.06640625,-0.3544922,-0.1264648
109,-92.125,-212.4375,93.375,0.140625,1.104492,0.05175781,-0.07714844,-0.3505859,-0.1303711
113,-116.5625,-245.25,104.8125,0.4194336,1.143066,0.1367188,-0.09472656,-0.3417969,-0.1333008
117,-150.8125,-254.0625,120.6875,0.7138672,1.244141,0.2519531,-0.1079102,-0.3393555,-0.1357422
121,-190.1875,-266.5625,146.0625,0.6982422,1.337402,0.2675781,-0.1259766,-0.328125,-0.1386719
