Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-2.1875,3,-0.6875,-0.8354492,-0.4570313,-0.359375,0.222168,0.1025391,0.168457
4,-3.6875,1.4375,-1.25,-0.847168,-0.453125,-0.3632813,0.222168,0.1035156,0.1640625
8,-3.9375,0,-2.625,-0.847168,-0.46875,-0.3666992,0.222168,0.1049805,0.1655273
12,-3.75,0.5625,-2.75,-0.8393555,-0.4882813,-0.3666992,0.222168,0.1025391,0.1669922
16,-1.5,1.125,-2.875,-0.831543,-0.4960938,-0.3632813,0.222168,0.1035156,0.168457
20,1.0625,1.9375,-3.25,-0.831543,-0.4882813,-0.3666992,0.222168,0.1025391,0.1655273
24,3.3125,2.5625,-2.5625,-0.831543,-0.4726563,-0.3745117,0.21875,0.1035156,0.1669922
28,3.875,1.4375,-2.25,-0.831543,-0.4492188,-0.3901367,0.2202148,0.1035156,0.1669922
32,2.375,1.125,-2.5625,-0.8237305,-0.4335938,-0.4091797,0.2202148,0.1049805,0.1655273
36,0.25,0.5,-2.8125,-0.7929688,-0.4375,-0.4399414,0.2202148,0.1049805,0.1669922
40,-1.4375,2.0625,-3.4375,-0.7695313,-0.4375,-0.4477539,0.2202148,0.1049805,0.1640625
44,-2.0625,4.0625,-4.4375,-0.7578125,-0.4609375,-0.4628906,0.2202148,0.1049805,0.1655273
48,-0.875,7.75,-4.5625,-0.7578125,-0.4804688,-0.4628906,0.2202148,0.1049805,0.1669922
52,3.0625,11.5625,-3.5,-0.7543945,-0.4882813,-0.4975586,0.2177734,0.1064453,0.1655273
56,5.1875,17.25,-1.375,-0.7617188,-0.46875,-0.5244141,0.2177734,0.1074219,0.1699219
60,3.625,20.4375,-0.375,-0.7387695,-0.453125,-0.6015625,0.21875,0.1074219,0.1699219
64,1.5,22.9375,-0.4375,-0.6962891,-0.46875,-0.6748047,0.215332,0.1074219,0.1708984
