Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-0.8125,-0.25,-0.0625,-0.8588867,-0.4882813,-0.08203125,0.2543945,0.1274414,0.07324219
4,-1.4375,-0.9375,0.5,-0.8588867,-0.4804688,-0.07470703,0.2558594,0.1274414,0.07177734
8,-2.5,-1.25,0.375,-0.8354492,-0.4804688,-0.08984375,0.2558594,0.1274414,0.0703125
12,-3.25,-0.6875,0.125,-0.862793,-0.4921875,-0.08203125,0.2558594,0.1274414,0.06884766
16,-3.5,-1.25,0.6875,-0.8745117,-0.5073242,-0.08984375,0.2558594,0.1274414,0.0703125
20,-3.3125,-0.375,1.3125,-0.8588867,-0.5112305,-0.08203125,0.2558594,0.1274414,0.0703125
24,-2.9375,0.4375,1.5625,-0.8510742,-0.5073242,-0.0859375,0.2558594,0.1274414,0.0703125
28,-3.8125,0.8125,1.875,-0.8432617,-0.4960938,-0.1015625,0.2568359,0.1274414,0.07177734
32,-5.25,0.5625,0.6875,-0.847168,-0.5,-0.1206055,0.2558594,0.1274414,0.07177734
36,-6.4375,0.3125,-0.1875,-0.8354492,-0.5073242,-0.1054688,0.2568359,0.125,0.07177734
40,-6.75,1.25,-0.375,-0.8237305,-0.5112305,-0.1015625,0.2558594,0.1264648,0.07177734
44,-6.8125,2.0625,-1,-0.831543,-0.5151367,-0.109375,0.2558594,0.1274414,0.07177734
48,-6.25,2.625,-2.875,-0.8276367,-0.5268555,-0.1015625,0.2568359,0.1264648,0.07324219
52,-5.1875,5.5625,-2.875,-0.8354492,-0.5385742,-0.1054688,0.2543945,0.1264648,0.07324219
56,-4.8125,7.5625,-2.625,-0.8393555,-0.519043,-0.1015625,0.2543945,0.125,0.07324219
60,-6.1875,8.3125,-3.375,-0.8510742,-0.503418,-0.128418,0.2543945,0.1274414,0.07421875
64,-10.5,5.6875,-5.3125,-0.8706055,-0.519043,-0.1591797,0.2543945,0.1264648,0.07568359
68,-14.9375,4.875,-4.8125,-0.8549805,-0.550293,-0.2055664,0.2558594,0.125,0.07568359
72,-18.3125,4.8125,-6.625,-0.8125,-0.5581055,-0.2670898,0.253418,0.125,0.07714844
76,-23.0625,9.375,-9.1875,-0.796875,-0.5927734,-0.309082,0.253418,0.1274414,0.07861328
80,-24,14.0625,-11.875,-0.8125,-0.6357422,-0.359375,0.2543945,0.1235352,0.08007813
84,-24,23.6875,-12.8125,-0.847168,-0.6977539,-0.4282227,0.253418,0.1274414,0.08251953
88,-21.0625,34.625,-13.625,-0.8706055,-0.7368164,-0.5131836,0.2509766,0.1274414,0.08789063
92,-16.25,45.1875,-14,-0.8935547,-0.7719727,-0.6552734,0.25,0.1289063,0.09082031
96,-13.3125,56.8125,-14.5625,-0.8432617,-0.7407227,-0.824707,0.2475586,0.1289063,0.09765625
100,-18.75,71.1875,-21.5,-0.7617188,-0.7055664,-1.001465,0.2426758,0.1289063,0.1000977
104,-31.5625,90.625,-35.5625,-0.7192383,-0.6899414,-1.101563,0.2392578,0.1313477,0.105957
108,-39.9375,115.8125,-45.5625,-0.7543945,-0.7446289,-1.144043,0.234375,0.1298828,0.1152344
112,-41.6875,144.375,-45.5625,-0.862793,-0.8339844,-1.15918,0.2246094,0.1323242,0.1274414
117,-37.4375,170.6875,-42.625,-0.9326172,-0.7680664,-1.166992,0.2202148,0.1362305,0.1328125
121,-34.5625,187.25,-32.4375,-0.9399414,-0.8417969,-1.286133,0.2080078,0.1347656,0.1518555
125,-40.0625,205.3125,-34.0625,-0.8818359,-0.7446289,-1.394043,0.1948242,0.1376953,0.1640625
129,-62.6875,217.875,-44.875,-0.8085938,-0.5698242,-1.475098,0.1889648,0.1362305,0.1738281
133,-99.625,234.9375,-60.6875,-0.8354492,-0.5581055,-1.494141,0.1723633,0.1337891,0.1914063
137,-126.9375,252.25,-68.3125,-0.9438477,-0.6552734,-1.390137,0.1474609,0.1298828,0.2104492
141,-137.625,265.8125,-63.75,-1.118652,-0.8105469,-1.293945,0.1342773,0.1264648,0.2226563
145,-131.9375,271.125,-48.125,-1.269531,-0.9350586,-1.240234,0.109375,0.1201172,0.2416992
149,-119.1875,258.1875,-36.25,-1.118652,-0.8803711,-1.359375,0.08691406,0.1088867,0.2553711
153,-127,269,-35.5,-0.7075195,-0.6201172,-1.444336,0.07128906,0.1035156,0.2661133
157,-170.0625,307.6875,-56.8125,-0.5834961,-0.3754883,-1.563477,0.04248047,0.09228516,0.2797852
161,-220.875,332.5625,-61.5,-0.8818359,-0.5151367,-1.632813,0.01171875,0.07617188,0.2895508
165,-245.4375,334.375,-38.8125,-1.083496,-0.7446289,-1.640137,-0.01025391,0.06005859,0.2949219
169,-246.875,335.75,-11.125,-0.9516602,-0.8183594,-1.602051,-0.04394531,0.03515625,0.300293
173,-241.1875,352.6875,-0.0625,-0.7348633,-0.7988281,-1.571289,-0.078125,0.01367188,0.2988281
177,-241.1875,377.9375,-0.6875,-0.7348633,-0.7250977,-1.594238,-0.09960938,-0.004394531,0.2963867
181,-246.9375,366.5,-13.5625,-1.017578,-0.7172852,-1.563477,-0.1352539,-0.02929688,0.2827148
185,-248.25,333.125,-33.8125,-0.8935547,-0.6435547,-1.293945,-0.1665039,-0.05175781,0.2675781
189,-242,312.1875,-49.625,-1.052734,-0.7524414,-0.8168945,-0.1865234,-0.06835938,0.2553711
193,-208.875,269.0625,-46.9375,-1.308105,-0.8725586,-0.2822266,-0.2089844,-0.09082031,0.237793
197,-143.5,217.375,-29.4375,-1.20752,-0.8535156,0.2250977,-0.2294922,-0.1069336,0.2158203
201,-64.5625,160.25,-6,-1.296875,-0.6821289,0.4057617,-0.237793,-0.1157227,0.2050781
205,-15.75,90.1875,37.875,-0.9790039,-0.4960938,0.2172852,-0.2460938,-0.1157227,0.1967773
209,11.4375,57.9375,66.875,-0.1499023,-0.2822266,0.05566406,-0.253418,-0.1132813,0.1914063
213,22.8125,73.5,68.0625,0.3730469,-0.1850586,-0.001464844,-0.2568359,-0.1083984,0.1889648
217,34.375,85.1875,50.5,0.2915039,-0.1074219,0.01367188,-0.2626953,-0.1020508,0.1791992
221,35.9375,67.8125,26.0625,0.02832031,-0.006347656,0.01367188,-0.2685547,-0.09570313,0.175293
225,25.9375,31.375,11,-0.1420898,0.02441406,0.02490234,-0.2700195,-0.09326172,0.1708984
229,14.875,-9.875,9,-0.1689453,-0.08789063,-0.05126953,-0.2734375,-0.09326172,0.1708984
233,17.9375,-35.1875,21.9375,0.109375,-0.2861328,-0.1362305,-0.2685547,-0.08935547,0.175293
237,32.375,-39.125,31.5,0.2915039,-0.3598633,-0.2167969,-0.2685547,-0.08837891,0.175293
241,48.1875,-37.125,32.6875,0.3535156,-0.3520508,-0.2363281,-0.2675781,-0.08300781,0.1791992
246,54,-39.75,23.1875,0.2177734,-0.2900391,-0.2592773,-0.2661133,-0.07714844,0.1821289
250,56.1875,-61.9375,6.1875,-0.01806641,-0.2275391,-0.2783203,-0.2617188,-0.07421875,0.1845703
254,58.6875,-93.8125,-1.9375,-0.1303711,-0.2822266,-0.3476563,-0.2592773,-0.07080078,0.1928711
258,67.875,-116.75,-1.875,-0.02978516,-0.3095703,-0.378418,-0.253418,-0.06591797,0.199707
262,79,-128,4.375,-0.1962891,-0.421875,-0.3823242,-0.2470703,-0.06201172,0.206543
266,104.9375,-147.3125,12.6875,-0.3242188,-0.5268555,-0.394043,-0.237793,-0.05712891,0.2158203
270,140.875,-165.1875,32.25,-0.4208984,-0.6279297,-0.5244141,-0.2270508,-0.04589844,0.2270508
274,173.3125,-174.8125,42.75,-0.3549805,-0.4609375,-0.6708984,-0.21875,-0.03466797,0.2348633
278,177.1875,-182.5,42.75,-0.5756836,-0.324707,-0.8056641,-0.2045898,-0.01806641,0.2460938
282,165.1875,-204.875,38.25,-0.9169922,-0.2045898,-0.894043,-0.1889648,-0.0004882813,0.2539063
286,148.875,-245.3125,48.125,-1.261719,-0.324707,-1.028809,-0.1757813,0.01025391,0.2607422
290,133.125,-291.25,67.5,-1.063965,-0.3325195,-1.248047,-0.1508789,0.02490234,0.2714844
294,105.1875,-308.75,81.9375,-0.8510742,-0.3754883,-1.447754,-0.1259766,0.04150391,0.2797852
298,81,-330.25,70.5625,-0.5527344,-0.4726563,-1.598145,-0.1030273,0.04638672,0.2841797
302,67.1875,-329.75,14.0625,-0.4482422,-0.550293,-1.659668,-0.06982422,0.05615234,0.2910156
306,60.875,-316.25,-5.8125,-0.4750977,-0.6708984,-1.651855,-0.04003906,0.0625,0.2910156
310,73,-280.5625,16.5,-0.5952148,-0.8647461,-1.520996,-0.02001953,0.06738281,0.293457
314,97.25,-243.9375,48,-0.7075195,-0.8959961,-1.390137,0.008300781,0.07275391,0.2895508
318,117.3125,-225.25,71.0625,-1.052734,-1.004883,-1.351563,0.03173828,0.08251953,0.2841797
322,141.4375,-240.75,77,-1.071777,-0.9619141,-1.467285,0.04736328,0.08984375,0.2773438
326,139.375,-246.4375,64.5,-0.8588867,-0.6860352,-1.567383,0.07226563,0.1000977,0.2651367
330,106.1875,-240.625,41.0625,-0.9130859,-0.5385742,-1.543945,0.09619141,0.1098633,0.25
334,70.5625,-231.8125,27.75,-1.103027,-0.6396484,-1.382324,0.109375,0.1137695,0.2446289
338,57.75,-232.25,32.125,-1.315918,-0.8457031,-1.20166,0.1308594,0.1176758,0.2333984
342,62.8125,-241.25,30.4375,-1.381836,-0.9350586,-1.013184,0.1508789,0.1210938,0.2158203
