Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,0.375,1.125,0.125,0.2333984,-0.9467773,-0.2055664,-0.07958984,0.2587891,0.105957
5,0.125,0.0625,0.3125,0.2294922,-0.9506836,-0.1860352,-0.078125,0.2587891,0.1069336
9,-0.1875,-1.75,-0.375,0.2294922,-0.9467773,-0.1708984,-0.07958984,0.2587891,0.1083984
13,1.5,-3.375,-1.1875,0.2333984,-0.9853516,-0.1552734,-0.078125,0.2563477,0.1069336
17,1.5,-3.9375,-0.125,0.2451172,-0.9736328,-0.1474609,-0.07714844,0.2612305,0.1069336
21,0.3125,-4.4375,0.4375,0.2412109,-0.9775391,-0.1362305,-0.078125,0.2587891,0.1069336
25,0.625,-5.1875,0.0625,0.2568359,-1.020508,-0.1245117,-0.07714844,0.2587891,0.1083984
29,0.9375,-4.8125,0.75,0.2724609,-1.043945,-0.1743164,-0.07714844,0.2587891,0.1069336
33,0.6875,-2.4375,2.625,0.3032227,-1.047363,-0.2363281,-0.078125,0.2573242,0.1083984
37,-2,3.25,5.1875,0.3535156,-0.9970703,-0.3286133,-0.07958984,0.2573242,0.1069336
41,-11.5625,13.9375,7.875,0.3959961,-0.9233398,-0.4248047,-0.07714844,0.2597656,0.1083984
45,-24.75,29.25,12.9375,0.4311523,-0.9038086,-0.559082,-0.07714844,0.2573242,0.1083984
49,-38.3125,44.6875,17.9375,0.4619141,-0.8300781,-0.7553711,-0.07958984,0.2573242,0.1098633
53,-58.25,58,16.75,0.4541016,-0.6938477,-0.9287109,-0.078125,0.2573242,0.1137695
57,-84.625,60.6875,4.1875,0.3925781,-0.5776367,-1.132324,-0.07958984,0.2563477,0.1191406
61,-109.6875,49.8125,-15.25,0.2836914,-0.6318359,-1.224609,-0.08203125,0.2509766,0.1220703
65,-130.125,30.1875,-29.125,0.2294922,-0.7368164,-1.236328,-0.08642578,0.2460938,0.1328125
69,-153.6875,14,-33.5,0.2294922,-0.7988281,-1.217285,-0.08886719,0.2397461,0.144043
73,-178.625,8.625,-28,0.2954102,-0.8764648,-1.209473,-0.09033203,0.2314453,0.1518555
77,-203.375,15.125,-22.0625,0.3613281,-0.8647461,-1.217285,-0.09472656,0.2211914,0.1669922
81,-222.1875,24.875,-25.3125,0.3925781,-0.9736328,-1.244141,-0.09619141,0.2060547,0.1831055
85,-223.875,32.1875,-37.0625,0.3925781,-0.9970703,-1.286133,-0.09716797,0.1972656,0.1943359
89,-238.6875,35.25,-47,0.3417969,-0.9931641,-1.328613,-0.1030273,0.1811523,0.2089844
93,-254.3125,36,-47.5,0.2797852,-1.102051,-1.394043,-0.109375,0.1611328,0.2241211
97,-264.6875,32.3125,-41.5625,0.1870117,-1.160156,-1.490234,-0.1137695,0.1459961,0.2333984
101,-272.125,21.25,-33.9375,0.1791992,-1.109863,-1.628906,-0.1176758,0.1235352,0.2470703
105,-285.625,13.375,-24,0.2412109,-0.9697266,-1.748047,-0.1220703,0.09863281,0.2607422
109,-319.875,-0.625,-25.25,0.206543,-0.9389648,-1.855957,-0.1201172,0.08105469,0.2661133
113,-340.9375,-33.25,-38.5625,0.09765625,-1.203125,-1.994141,-0.1210938,0.04980469,0.2783203
117,-332.6875,-96,-55.25,0.02050781,-1.459473,-2.113281,-0.1152344,0.01367188,0.2910156
122,-295.125,-152.25,-58.125,0.3574219,-1.424316,-2.171387,-0.1079102,-0.005859375,0.2949219
126,-304.3125,-154.125,-54.4375,0.7333984,-0.8881836,-2.140625,-0.09472656,-0.04199219,0.300293
130,-392.5,-140.25,-46.625,0.7915039,-0.8999023,-2.079102,-0.07958984,-0.07324219,0.3017578
134,-457.75,-135.1875,-33.9375,0.6791992,-1.583984,-1.855957,-0.07128906,-0.1054688,0.3017578
138,-454.5,-139.6875,-26.8125,0.4077148,-2.069336,-1.390137,-0.05664063,-0.1518555,0.293457
142,-385.6875,-161.5625,-23.4375,0.1445313,-2.403809,-0.8554688,-0.04150391,-0.1943359,0.2797852
146,-250.625,-165,-9.1875,0.2993164,-2.271484,-0.378418,-0.03076172,-0.2158203,0.269043
150,-156.0625,-120.8125,10.6875,0.4970703,-1.401367,-0.1245117,-0.01757813,-0.2368164,0.2583008
154,-157.3125,-72.5,51.75,0.5048828,-0.5854492,-0.0859375,-0.01025391,-0.2519531,0.2485352
158,-176.25,-34.5,68.9375,0.4428711,-0.2006836,-0.1938477,-0.009277344,-0.2592773,0.2416992
162,-178.375,-16.375,54.625,0.3496094,-0.1308594,-0.1054688,-0.009277344,-0.2729492,0.2324219
166,-142.375,-0.125,21.6875,0.2294922,-0.1889648,-0.02832031,-0.01025391,-0.2880859,0.2202148
170,-96.9375,-1.4375,-8.75,0.07861328,-0.2275391,0.001953125,-0.01171875,-0.296875,0.2172852
174,-60.9375,-2.5,-12.625,0.09765625,-0.2470703,0.01367188,-0.01171875,-0.3007813,0.2089844
178,-42.75,10.5625,6.4375,0.1713867,-0.1577148,0.04052734,-0.01025391,-0.3056641,0.2050781
182,-30.75,34.5625,30.3125,0.2138672,-0.08398438,-0.02050781,-0.01416016,-0.3056641,0.2036133
186,-21.9375,47.6875,42.125,0.1171875,0.07080078,-0.08984375,-0.01855469,-0.3066406,0.2011719
190,-8.6875,41.3125,36.1875,0.09375,0.07080078,-0.1782227,-0.0234375,-0.3105469,0.199707
194,12.8125,28.3125,20.5,0.09765625,0.1020508,-0.2285156,-0.02685547,-0.3081055,0.1982422
198,32.1875,24.5,10.5625,0.1948242,0.1640625,-0.2705078,-0.03173828,-0.3081055,0.199707
202,39.75,25.4375,9.9375,0.206543,0.1914063,-0.3168945,-0.03320313,-0.3041992,0.199707
206,46.6875,27,12,0.2294922,0.1914063,-0.3974609,-0.03320313,-0.3032227,0.2036133
210,50.375,24.75,13.8125,0.2490234,0.07080078,-0.3515625,-0.0390625,-0.3007813,0.2089844
214,67.875,27.375,14.4375,0.2646484,-0.04541016,-0.3129883,-0.04150391,-0.2954102,0.2119141
218,87.625,27.6875,11.125,0.2294922,-0.1538086,-0.2631836,-0.04248047,-0.2919922,0.2143555
222,120.75,30.9375,10,0.2993164,-0.3598633,-0.2978516,-0.04492188,-0.2817383,0.2211914
226,148.5625,44.75,16.0625,0.3652344,-0.340332,-0.4477539,-0.04833984,-0.2719727,0.2294922
230,169.625,66.0625,30.5,0.4077148,-0.3325195,-0.5014648,-0.05078125,-0.2641602,0.237793
234,175.375,77.4375,37.875,0.2915039,-0.2705078,-0.5976563,-0.05908203,-0.2480469,0.2460938
238,184.9375,70.125,31.75,0.2104492,-0.4179688,-0.6401367,-0.06738281,-0.2329102,0.2539063
242,210.75,54.0625,10,0.1289063,-0.6630859,-0.6630859,-0.07324219,-0.2216797,0.2607422
246,241.375,39.0625,-7.5,0.1132813,-0.8613281,-0.7055664,-0.07958984,-0.2006836,0.2714844
251,272.375,25.875,-13.9375,0.08251953,-1.004883,-0.8286133,-0.08056641,-0.1767578,0.2783203
255,296.0625,5.375,-26.5,0.04345703,-1.094238,-0.9287109,-0.08203125,-0.1591797,0.2866211
259,326.0625,-23.3125,-50.375,0.07861328,-1.249512,-0.9516602,-0.07958984,-0.1293945,0.2973633
263,364.5,-23.875,-64.3125,0.5161133,-1.564453,-0.7939453,-0.07714844,-0.09716797,0.3032227
267,374.1875,40.1875,-38.0625,0.7758789,-1.284668,-0.9707031,-0.07714844,-0.07177734,0.3041992
271,326.6875,93.375,2.5,0.5708008,-1.207031,-1.221191,-0.08056641,-0.03564453,0.3032227
275,303,105.625,34.5,0.3266602,-1.45166,-1.436523,-0.09130859,-0.004394531,0.2988281
279,316.8125,77.25,30.6875,0.1289063,-1.513672,-1.555664,-0.09960938,0.01855469,0.2919922
283,323.8125,36,8.875,0.1484375,-1.342773,-1.509277,-0.1054688,0.04980469,0.2841797
287,315.625,15.1875,-1.875,0.2875977,-1.572266,-1.313477,-0.1069336,0.08251953,0.2714844
291,308,24.625,11.3125,0.4350586,-1.766602,-1.147949,-0.109375,0.1000977,0.2636719
295,307.9375,40.75,25.8125,0.4155273,-1.863281,-1.182617,-0.1103516,0.1264648,0.2470703
299,304.375,49,41.625,0.3847656,-1.875,-1.186523,-0.112793,0.1523438,0.2294922
303,305.625,49.6875,50.5625,0.3266602,-1.828613,-1.251953,-0.1113281,0.1689453,0.2143555
307,295.875,38.625,54.625,0.2412109,-1.785645,-1.221191,-0.1113281,0.1923828,0.1928711
311,305.8125,14.5,42.6875,0.206543,-1.844238,-1.232422,-0.1113281,0.2124023,0.1699219
315,302.625,-4.375,37.9375,0.2490234,-1.711914,-1.125,-0.1103516,0.2236328,0.1533203
319,304.75,-12.125,29.625,0.3613281,-1.812988,-0.9824219,-0.1054688,0.2412109,0.1289063
323,319.625,-13.3125,4.9375,0.4116211,-1.9375,-0.7514648,-0.1030273,0.2539063,0.1030273
327,355.4375,-16.0625,-32.25,0.3496094,-2.069336,-0.6206055,-0.1044922,0.262207,0.08251953
331,380.25,-38.1875,-69.9375,0.1171875,-2.120117,-0.5708008,-0.1069336,0.2700195,0.04589844
335,400.5625,-60.3125,-69.3125,0.2294922,-2.116211,-0.4863281,-0.1113281,0.2749023,0.01464844
339,379.9375,-14,-6.1875,0.6791992,-1.781738,-0.3862305,-0.1152344,0.2763672,-0.009277344
343,316.625,64.3125,73.3125,0.8652344,-1.48291,-0.3359375,-0.1137695,0.2749023,-0.04492188
347,268.5,122.4375,113,0.7529297,-1.21875,-0.6669922,-0.1044922,0.2749023,-0.07617188
351,238.9375,130.9375,108.1875,0.543457,-0.9775391,-0.9516602,-0.09375,0.2763672,-0.09521484
355,212,113.6875,86.75,0.3652344,-0.7016602,-1.174805,-0.08056641,0.2709961,-0.1225586
359,179.25,81.875,65.9375,0.2915039,-0.4648438,-1.305664,-0.07226563,0.2675781,-0.1425781
